"row ID","MZ_RT","cor"," p_value","p_value_corrected","C7","C8","C9","C10","C11","C12","C13","C14","C15"
"","Bioactivity","0","0","0"," 1.0","32.5","58.3","36.7","41.3","25.8","13.3"," 8.3"," 1.0"
"87","192.1020634_5.8716087","0.833727161667576","0.00522439618233461","1","1.486861e-10","3.644831e-05","6.194529e-05","5.366893e-05","1.602660e-05","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"4502","792.3819297_27.84342","0.386165432638082","0.304629856144881","1","1.486861e-10","1.079308e-10","8.835574e-11","2.988306e-04","1.232571e-03","4.865289e-04","9.778323e-10","1.223669e-09","1.488487e-09"
"5477","888.6604544_31.719646","0.344147381549829","0.364469591161712","1","1.486861e-10","1.079308e-10","8.835574e-11","7.390974e-04","3.589864e-03","2.582621e-03","5.252237e-05","1.223669e-09","1.488487e-09"
"4880","890.6398996_28.996426","0.461691458244875","0.210911901675947","1","1.486861e-10","1.079308e-10","1.373162e-04","2.347476e-03","3.727935e-03","1.287097e-03","9.778323e-10","1.223669e-09","1.488487e-09"
"662","164.1071026_15.023798","-0.440613337508901","0.235220627814426","1","3.339336e-04","1.079308e-10","8.835574e-11","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"3211","616.4264707_23.816866","0.293256682749895","0.443757253053664","1","8.381999e-06","3.808823e-04","8.537389e-05","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"3479","337.2737189_24.881966","0.571887299519825","0.107638150596585","1","1.486861e-10","1.079308e-10","2.101547e-04","3.421085e-04","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"1513","616.4263455_17.69598","-0.440612178681874","0.235222004067338","1","4.724826e-04","1.079308e-10","8.835574e-11","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"4656","445.3650344_28.264212","-0.623222330241397","0.0729567099818452","1","1.486861e-10","1.079308e-10","8.835574e-11","9.904960e-11","1.534130e-10","3.941499e-10","3.343686e-03","4.308985e-03","3.324800e-03"
"4258","353.2684181_27.132486","0.39579115666992","0.291677708711226","1","1.486861e-10","1.079308e-10","8.835574e-11","1.405695e-04","4.278401e-04","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"5022","367.3205138_29.55717","0.0606151370007002","0.876893319380312","1","1.486861e-10","1.079308e-10","8.835574e-11","9.904960e-11","2.339610e-04","2.465281e-03","9.778323e-10","1.223669e-09","1.488487e-09"
"3423","431.8087305_24.656525","0.727838297822865","0.0262158356909801","1","1.486861e-10","3.032647e-04","5.136276e-04","1.011021e-04","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"3683","468.8452486_25.427498","0.757047438001678","0.0181788964537432","1","1.486861e-10","2.358190e-04","7.459861e-04","2.022270e-04","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"522","347.0428327_13.708216","-0.440618346554826","0.235214678992245","1","1.472684e-04","1.079308e-10","8.835574e-11","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"4149","700.5196091_26.717932","0.722326299546436","0.0279551735958303","1","1.486861e-10","1.646619e-05","5.266002e-03","8.538076e-03","5.430819e-03","2.674463e-04","9.778323e-10","1.223669e-09","1.488487e-09"
"3971","411.2636367_26.284092","0.362429963737014","0.337782566851964","1","1.486861e-10","1.079308e-10","8.835574e-11","1.102566e-04","4.796407e-05","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"4437","529.046339_27.63475","0.714118899742804","0.0306824383544422","1","1.486861e-10","8.020922e-05","4.222543e-04","4.862919e-05","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"4703","822.370847_28.406937","-0.625435740970999","0.0716451236834833","1","1.486861e-10","1.079308e-10","8.835574e-11","1.740180e-04","4.083845e-04","9.791302e-04","1.629689e-03","2.138778e-03","2.140531e-03"
"898","426.3055232_15.831199","-0.440612322912517","0.235221832775063","1","4.492819e-04","1.079308e-10","8.835574e-11","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"489","268.0969273_13.283831","-0.440615688058925","0.235217836253888","1","2.093895e-04","1.079308e-10","8.835574e-11","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"3542","804.4885359_25.030848","0.775258588721488","0.0141097361974096","1","1.486861e-10","1.079308e-10","2.622277e-04","1.887966e-04","5.335297e-05","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"2718","463.3245662_22.018234","-0.163687730773531","0.673894165776081","1","1.560500e-04","1.947695e-04","8.835574e-11","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"2439","263.1643288_20.912104","0.688200350308446","0.0404172792762689","1","1.486861e-10","3.348398e-05","1.004825e-04","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"253","190.0864188_9.086963","-0.240271764206734","0.533463022941649","1","3.640454e-04","9.194134e-05","9.169791e-05","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"2715","729.4544028_22.00707","0.577322711109632","0.103572084295848","1","1.486861e-10","4.285701e-04","3.527483e-04","1.601355e-05","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"2659","205.1952847_21.792425","0.435318284956504","0.241554622724013","1","1.486861e-10","3.792233e-04","1.538278e-04","4.013479e-05","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"4128","683.4935379_26.652033","0.6782931685983","0.0446069458041033","1","1.486861e-10","1.079308e-10","4.756295e-04","8.650786e-04","4.134068e-04","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"1254","271.1904515_16.98869","-0.422412842247896","0.257371520908417","1","1.419915e-03","1.948893e-04","8.835574e-11","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"336","273.1673532_10.485262","-0.418838262598481","0.26184712826857","1","1.486861e-10","2.364098e-05","3.700427e-05","4.376606e-05","1.323359e-04","7.063338e-04","9.778323e-10","3.335819e-04","1.154905e-03"
"394","204.1021793_11.670968","-0.440615692536955","0.235217830935706","1","2.092408e-04","1.079308e-10","8.835574e-11","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"516","181.0860592_13.623445","-0.44061351799452","0.235220413465434","1","3.193486e-04","1.079308e-10","8.835574e-11","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"2576","193.1953169_21.476566","0.627697224931703","0.070320363967938","1","1.486861e-10","1.999060e-04","2.264078e-04","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"4550","908.5503951_27.965645","0.43007400747352","0.24791729251016","1","1.486861e-10","1.079308e-10","4.348212e-06","3.054181e-04","4.806352e-04","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"1227","412.3059423_16.941723","0.696476609400587","0.037119009487127","1","1.486861e-10","1.079308e-10","3.569282e-05","2.823657e-05","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
"434","338.1533143_12.330116","0.587910765152484","0.0959226111247968","1","1.486861e-10","5.426508e-05","4.935781e-05","9.904960e-11","1.534130e-10","3.941499e-10","9.778323e-10","1.223669e-09","1.488487e-09"
