row_IDs_x_x,IDs,cor_coeffs_x_x,p_values_x_x,adjusted_p_values_x_x,row_IDs_y_x,cor_coeffs_y_x,p_values_y_x,adjusted_p_values_y_x,row_IDs_x,cor_coeffs_x,p_values_x,adjusted_p_values_x,row_IDs_x_y,cor_coeffs_x_y,p_values_x_y,adjusted_p_values_x_y,row_IDs_y_y,cor_coeffs_y_y,p_values_y_y,adjusted_p_values_y_y,row_IDs_y,cor_coeffs_y,p_values_y,adjusted_p_values_y
4299,462.3527909_27.242655,0.9859179745779432,0.014082025422056832,1,4299,0.9595338910256671,0.009712190769544785,1,4299,0.9547839067193565,0.003020520596959792,1,4299,0.9792619185988254,0.020738081401174613,1,4299,0.9485224376428238,0.013911650201236263,1,4299,0.9094313687134299,0.011932562846513233,1
361,356.2544007_11.006785,0.9851416614567503,0.014858338543249694,1,361,0.9754464150187058,0.00460150831831116,1,361,0.9479777399590805,0.003989078984266352,1,361,0.9728721288233317,0.02712787117666826,1,361,0.9318388042008282,0.021142134327049183,1,361,0.9145577425944924,0.010638688580009794,1
3904,462.3349509_26.056276,0.9802799118981386,0.019720088101861433,1,3904,0.9794338046963527,0.003529559233438935,1,3904,0.9792584361169174,0.0006408570687350724,1,3904,0.9934277508452348,0.006572249154765175,1,3904,0.992789360968995,0.0007342166037255151,1,3904,0.8722377965719894,0.023442028175382868,1
417,356.2545009_12.19899,0.9802797425723899,0.019720257427610077,1,417,0.9794558138255787,0.0035239066702243598,1,417,0.9792708797372565,0.0006400910258464256,1,417,0.9934591698029339,0.006540830197066083,1,417,0.9928288296370864,0.0007282008912996205,1,417,0.991420117235355,0.00011010578097207014,0.33207903541176353
3096,249.2213856_23.43257,0.9802796552813422,0.0197203447186578,1,3096,0.9794195597541085,0.003533219331206907,1,3096,0.9792501694756364,0.0006413662237011057,1,3096,0.9934081273761959,0.006591872623804118,1,3096,0.9927646176760994,0.0007379962924887886,1,3096,0.867377935030205,0.025216599145833924,1
3175,299.2580729_23.675644,0.9802787933039225,0.019721206696077465,1,3175,0.9794116622465044,0.003535249058335951,1,3175,0.9792454060372753,0.0006416597022598149,1,3175,0.9933971626354695,0.006602837364530489,1,3175,0.9927511638829228,0.0007400541469365712,1,3175,0.8673888109562402,0.025212559075091182,1
3317,599.2350588_24.23531,0.9802720783257178,0.019727921674282167,1,3317,0.9794888557425102,0.003515426201867391,1,3317,0.9792873986149386,0.0006390748084218594,1,3317,0.9935073843831753,0.006492615616824682,1,3317,0.9928925057054508,0.0007185302947862066,1,3317,0.867251979390667,0.02526341019972979,1
3442,521.327381_24.758995,0.9802688562829103,0.019731143717089727,1,3442,0.9794949744037056,0.0035138565405924303,1,3442,0.9792899615468611,0.0006389172124011286,1,3442,0.994218052420625,0.005781947579375002,1,3442,0.9929052029881663,0.0007166070802504112,1,3442,0.9860738218596486,0.0002895572457800826,0.8733046532727291
3018,303.2320242_23.113514,0.9802655559836384,0.019734444016361596,1,3018,0.9795028697271427,0.0035118314426755884,1,3018,0.9792933680827243,0.0006387077726051658,1,3018,0.9935288200557166,0.006471179944283367,1,3018,0.9929219309340542,0.0007140759716244306,1,3018,0.8672141892352526,0.025277462853196528,1
3490,380.3158615_24.922354,0.9802589970805289,0.019741002919471118,1,3490,0.9795112242732723,0.003509688977471376,1,3490,0.979296208591173,0.0006385331592328148,1,3490,0.9935415872696753,0.006458412730324659,1,3490,0.9929407221617624,0.0007112362199242059,1,3490,0.8671896958797733,0.025286572940886567,1
3916,433.3321921_26.053377,0.9802583762821511,0.019741623717848933,1,3916,0.9795113572887286,0.0035096548700789265,1,3916,0.9792961421906322,0.000638537240774539,1,3916,0.9972825631255398,0.002717436874460244,1,3916,0.9929411066399614,0.0007111781564158741,1,3916,0.9609116141283031,0.0022619912553648557,1
3465,455.2878811_24.83004,0.9802501285717169,0.019749871428283106,1,3465,0.9793041079232427,0.0035629297618546365,1,3465,0.9791753181700068,0.0006459855674459497,1,3465,0.9932518395924734,0.006748160407526571,1,3465,0.9925794534689312,0.000766485071609821,1,3465,0.9299432500679772,0.007190004866306966,1
3556,538.3949996_25.107258,0.980248642708771,0.01975135729122901,1,3556,0.9795218325559201,0.003506969180110494,1,3556,0.9792991405777816,0.0006383529473240015,1,3556,0.9935586247983037,0.006441375201696298,1,3556,0.9929662719928048,0.0007073811390617264,1,3556,0.8671518754685694,0.025300642975076098,1
1974,208.1333978_19.380657,0.9802233810679533,0.01977661893204674,1,1974,0.9792432964470626,0.0035786120496314054,1,1974,0.9791326249564382,0.0006486276903226398,1,1974,0.9931710240761812,0.006828975923818814,1,1974,0.99248852795034,0.0007806053208206754,1,1974,0.8952426195249161,0.0158863537024195,1
4585,696.4989205_28.118439,0.9802167440697642,0.019783255930235777,1,4585,0.9795400576910342,0.003502298168847686,1,4585,0.9792998995252844,0.0006383063034160518,1,4585,0.9935909652584489,0.0064090347415510784,1,4585,0.9930195515456633,0.0006993645043158179,1,4585,0.892080517193574,0.01684147383264051,1
4350,674.4673392_27.383783,0.980186054264749,0.01981394573525097,1,4350,0.9791679397684955,0.0035980768642314455,1,4350,0.9790782453652417,0.000652000792190555,1,4350,0.993072926729858,0.00692707327014197,1,4350,0.9923796210326886,0.0007976303416307441,1,4350,0.8675867031020649,0.025139102008811608,1
4559,718.512197_28.007515,0.9801736623540676,0.019826337645932446,1,4559,0.9791454358181695,0.0036038964534383347,1,4559,0.9790616596367917,0.0006530313139550961,1,4559,0.9930436889117359,0.006956311088264111,1,4559,0.9923477345900789,0.0008026380904701822,1,4559,0.9242508566592564,0.008389577331360419,1
3489,848.5149718_24.916561,0.9801126647755657,0.01988733522443431,1,3489,0.9795473927539816,0.0035004188096786886,1,3489,0.9792725900451085,0.0006399857729815112,1,3489,0.9936236955476125,0.00637630445238746,1,3489,0.9931015849929169,0.0006870809897155251,1,3489,0.8668250314721273,0.02542239122599712,1
3882,438.8165592_25.995346,0.9800905303901528,0.019909469609847186,1,3882,0.9790051095841688,0.0036402552785021244,1,3882,0.978956213350509,0.0006596019095193051,1,3882,0.9928638878199169,0.007136112180083143,1,3882,0.9921538557606436,0.0008333098173384244,1,3882,0.9070283886024277,0.01256377047591199,1
4972,528.3741642_29.314348,0.9800640643333337,0.019935935666666293,1,4972,0.9795396256368433,0.0035024088783655737,1,4972,0.9792535312090513,0.0006411591452244165,1,4972,0.9936228187962378,0.006377181203762183,1,4972,0.9931197120742543,0.0006843764532222957,1,4972,0.8667368167962417,0.025455298497298957,1
4052,519.8792605_26.494326,0.9800628207756992,0.019937179224300827,1,4052,0.9789619017775575,0.003651474779568648,1,4052,0.9789230937433017,0.0006616724060052063,1,4052,0.992808972401019,0.007191027598981048,1,4052,0.9920955414532386,0.0008426096865789569,1,4052,0.8676579760201717,0.02511267064575458,1
4127,506.3793726_26.650297,0.9800323404041074,0.01996765959589264,1,4127,0.9795325253003762,0.0035042284335036894,1,4127,0.9792399668729743,0.0006419948942492622,1,4127,0.9978400321434802,0.00215996785651984,1,4127,0.9931277687139843,0.0006831755519099165,1,4127,0.9353923590094798,0.006126380007268213,1
1214,639.4078669_16.899122,0.9799873927189452,0.020012607281054806,1,1214,0.9795202010864086,0.003507387417961093,1,1214,0.9792192297523961,0.0006432736299319808,1,1214,0.9936124598799114,0.006387540120088575,1,1214,0.9931366225439738,0.0006818566323784092,1,1214,0.9376006473313747,0.00571903728898551,1
3526,735.4859507_25.015097,0.9799397467279607,0.020060253272039308,1,3526,0.9795052795562168,0.0035112134144303637,1,3526,0.9791965506080005,0.000644673565019548,1,3526,0.9936002604446426,0.006399739555357442,1,3526,0.9931405182013152,0.000681276580389349,1,3526,0.8706743770635386,0.02400618205080185,1
3159,281.2475995_23.594673,0.979917805403576,0.02008219459642402,1,3159,0.9787508585879765,0.0037064387134460135,1,3159,0.9787582529041766,0.0006720254658442062,1,3159,0.9925431909951103,0.007456809004889653,1,3159,0.9918173755027676,0.0008874400445614711,1,3159,0.867689356635124,0.025101037424606835,1
4167,542.3894919_26.795519,0.9798992681490777,0.020100731850922315,1,4167,0.9787257074773832,0.0037130071290397866,1,4167,0.978738266595567,0.0006732861575419897,1,4167,0.992511516233309,0.007488483766690979,1,4167,0.9917848144058514,0.0008927380205468304,1,4167,0.9395327821222064,0.005373883982956594,1
