row_IDs_x_x,IDs,cor_coeffs_x_x,p_values_x_x,adjusted_p_values_x_x,row_IDs_y_x,cor_coeffs_y_x,p_values_y_x,adjusted_p_values_y_x,row_IDs_x_x,cor_coeffs_x_x,p_values_x_x,adjusted_p_values_x_x,row_IDs_x_y,cor_coeffs_x_y,p_values_x_y,adjusted_p_values_x_y,row_IDs_y_y,cor_coeffs_y_y,p_values_y_y,adjusted_p_values_y_y,row_IDs_y_x,cor_coeffs_y_x,p_values_y_x,adjusted_p_values_y_x,row_IDs_x_y,cor_coeffs_x_y,p_values_x_y,adjusted_p_values_x_y,row_IDs_y_y,cor_coeffs_y_y,p_values_y_y,adjusted_p_values_y_y,row_IDs,cor_coeffs,p_values,adjusted_p_values
4541,571.4103337_27.943182,0.9939524344125332,0.006047565587466774,1,4541,0.9835734852761182,0.00252103577002365,1,4541,0.9275538599049309,0.0076825500958059125,1,4541,0.9807736714629025,0.019226328537097492,1,4541,0.9161699739545348,0.028767061965433233,1,4541,0.8591432797516643,0.02836358143535988,1,4541,0.9811798968179594,0.018820103182040637,1,4541,0.9807325977415627,0.0032011752781295707,1,4541,0.8968089933924149,0.015423167043191414,1
4237,513.368739_27.064064,0.993948011755412,0.006051988244587969,1,4237,0.9835198590455193,0.002533370664220239,1,4237,0.9274271654031871,0.007709110587251564,1,4237,0.9807738461181341,0.01922615388186588,1,4237,0.9161699821360183,0.02876705779040917,1,4237,0.87627689066908,0.0220141716304419,1,4237,0.9811250726753384,0.01887492732466156,1,4237,0.9807214423781447,0.003203950390593817,1,4237,0.8789449078621372,0.021094512041811828,1
267,470.3703066_9.179981,0.9939325624074602,0.006067437592539804,1,267,0.9836422960579322,0.002505237415169695,1,267,0.9277493878537103,0.007641646882254429,1,267,0.9807750445218961,0.019224955478103878,1,267,0.9174901809354683,0.028095902284741438,1,267,0.9224188434990138,0.008794779643261027,1,267,0.9812442959868868,0.018755704013113217,1,267,0.9807279424806128,0.0032023332676563523,1,267,0.8960595574976112,0.015643957088988546,1
310,232.2273039_9.969926,0.9937369303466237,0.0062630696533763075,1,310,0.9836826777919045,0.0024959814455977067,1,310,0.9281132757643404,0.007565807129279831,1,310,0.9807773137855055,0.019222686214494522,1,310,0.9161701443259418,0.02876697502467301,1,310,0.8836806579943368,0.01950837262721913,1,310,0.9812543444541924,0.01874565554580765,1,310,0.9805925416454662,0.0032360745624788064,1,310,0.8798048734183901,0.020802081089687497,1
227,485.3337407_8.532546,0.9937118886524828,0.006288111347517167,1,227,0.9830528001193622,0.0026416403380837426,1,227,0.9265917414096195,0.00788536844392189,1,227,0.9807758425729484,0.019224157427051636,1,227,0.9161700755720275,0.028767010109878647,1,227,0.9081648249827783,0.012263293926801947,1,227,0.9816426780285036,0.01835732197149642,1,227,0.9804828782423775,0.0032634877930762017,1,227,0.9660191466606511,0.001712428772122258,1
4282,476.3504776_27.193878,0.993253328486404,0.006746671513595981,1,4282,0.9824489254962137,0.002783830326291186,1,4282,0.9469508521786866,0.004146672350413968,1,4282,0.9807736725021723,0.01922632749782771,1,4282,0.94155772822418,0.01681048560912311,1,4282,0.8950926091055018,0.015931058669125617,1,4282,0.9799489179818912,0.02005108201810879,1,4282,0.9800673562405982,0.003368049358315119,1,4282,0.9024446422724013,0.013811352229677921,1
4394,579.4261842_27.543123,0.9930203082056057,0.006979691794394283,1,4394,0.9833922149072741,0.0025628109339913266,1,4394,0.9283784733249688,0.00751076819043268,1,4394,0.9807736792807821,0.019226320719217926,1,4394,0.9161699743207783,0.028767061778538595,1,4394,0.8812150441067466,0.02032677872966069,1,4394,0.9808698074292341,0.01913019257076587,1,4394,0.9800356493709992,0.003376072728104062,1,4394,0.9163828635491338,0.010195420048582478,1
4622,527.885911_28.212692,0.9926860861248893,0.007313913875110711,1,4622,0.9817901728413594,0.0029417296972089222,1,4622,0.9466673883532679,0.004190702424894361,1,4622,0.9807736990966947,0.01922630090330535,1,4622,0.9423432029797886,0.016474701672602347,1,4622,0.9061138010391505,0.012808142026638736,1,4622,0.9792043053300348,0.020795694669965226,1,4622,0.9795658970276853,0.003495679203995663,1,4622,0.8760818969959804,0.022082120003238226,1
4305,464.8307748_27.256624,0.9924176164504218,0.007582383549578187,1,4305,0.981493421876829,0.0030137954139657108,1,4305,0.9244962450287459,0.008336008976629592,1,4305,0.9807738138545121,0.019226186145487878,1,4305,0.9161699806247638,0.028767058561604712,1,4305,0.858874279850423,0.02846934032429585,1,4305,0.9788666655497373,0.021133334450262664,1,4305,0.9793309144708243,0.0035560240233681187,1,4305,0.8756845137913323,0.022220903264461155,1
4674,505.3710032_28.305275,0.99204273726911,0.007957262730890036,1,4674,0.9810890613588351,0.0031129181662597925,1,4674,0.9604927462068092,0.00231040273620536,1,4674,0.9807736840877279,0.019226315912272085,1,4674,0.9596471592041375,0.009671607945326082,1,4674,0.8883592792608894,0.01799975032677651,1,4674,0.9784055033566239,0.021594496643376093,1,4674,0.9790045397445812,0.0036404031709219766,1,4674,0.8751605872716184,0.022404514886499045,1
