row_IDs_x_x,IDs,cor_coeffs_x_x,p_values_x_x,adjusted_p_values_x_x,row_IDs_y_x,cor_coeffs_y_x,p_values_y_x,adjusted_p_values_y_x,row_IDs_x_x,cor_coeffs_x_x,p_values_x_x,adjusted_p_values_x_x,row_IDs_x_y,cor_coeffs_x_y,p_values_x_y,adjusted_p_values_x_y,row_IDs_y_y,cor_coeffs_y_y,p_values_y_y,adjusted_p_values_y_y,row_IDs_y_x,cor_coeffs_y_x,p_values_y_x,adjusted_p_values_y_x,row_IDs_x_y,cor_coeffs_x_y,p_values_x_y,adjusted_p_values_x_y,row_IDs_y_y,cor_coeffs_y_y,p_values_y_y,adjusted_p_values_y_y,row_IDs_x,cor_coeffs_x,p_values_x,adjusted_p_values_x,row_IDs_x,cor_coeffs_x,p_values_x,adjusted_p_values_x,row_IDs_y,cor_coeffs_y,p_values_y,adjusted_p_values_y,row_IDs_y,cor_coeffs_y,p_values_y,adjusted_p_values_y
4394,579.4261842_27.543123,0.9962581232706182,0.0037418767293817545,1,4394,0.9833921680009576,0.002562821773308203,1,4394,0.9163829393172305,0.010195401836692496,1,4394,0.9672343874806053,0.03276561251939469,1,4394,0.9460431865465413,0.014923021697457323,1,4394,0.8581263271818795,0.028764382052133153,1,4394,0.9623610715415447,0.03763892845845529,1,4394,0.9216528161791624,0.026013462491713307,1,4394,0.8922539090635105,0.01678840612519167,1,4394,0.9980786154527377,0.001921384547262317,1,4394,0.9800356493709992,0.003376072728104062,1,4394,0.9800820635169858,0.0005911353269659746,1
267,470.3703066_9.179981,0.995748694322807,0.004251305677193007,1,267,0.9836404633931096,0.0025056577526124347,1,267,0.8793375863719955,0.020960739831581095,1,267,0.988524969880173,0.011475030119826979,1,267,0.973018040958926,0.00529881207372719,1,267,0.8633504837138452,0.026733801073244072,1,267,0.9838346728512588,0.016165327148741193,1,267,0.9591740203814249,0.009841497688155024,1,267,0.9493284802532916,0.003786352199296516,1,267,0.999683242444851,0.0003167575551490387,0.9553407863295007,267,0.9894044811473208,0.00130715100000854,1,267,0.9805852032127675,0.0005617424496831166,1
227,485.3337407_8.532546,0.9944242098823236,0.0055757901176763935,1,227,0.983049998585958,0.0026422942809891845,1,227,0.9660226802902558,0.0017120746833822163,1,227,0.9930129338548321,0.006987066145167864,1,227,0.9705625684797811,0.006036103991652391,1,227,0.9569874032173766,0.0027353367755644166,1,227,0.9801540185710839,0.019845981428916137,1,227,0.9338998463228172,0.020196868030216173,1,227,0.9286938804826916,0.007445563803826348,1,227,0.9999942714913466,5.728508653435327e-06,0.017277182098760946,227,0.9928223445841793,0.0007291881965970307,1,227,0.9802634131295405,0.0005804552673648681,1
4229,498.3633407_27.039175,0.9929616313450416,0.007038368654958438,1,4229,0.9791506361333622,0.0036025513601402187,1,4229,0.9172425226759371,0.009989805372020816,1,4229,0.9901341296158117,0.009865870384188291,1,4229,0.9676474498824568,0.006951487853076602,1,4229,0.883348831240423,0.019617577651554047,1,4229,0.9658726710186945,0.03412732898130555,1,4229,0.9213196581540755,0.026178222514867757,1,4229,0.9185977637625158,0.009669787298254002,1,4229,0.9903599696873797,0.009640030312620285,1,4229,0.976173193311777,0.004399206334258971,1,4229,0.9756255308826282,0.0008839315013814832,1
4497,593.4233264_27.831957,0.9914619404598801,0.00853805954011988,1,4497,0.9775502871636037,0.004024224052258228,1,4497,0.9041076650499776,0.013352128546311955,1,4497,0.9709791710431818,0.029020828956818234,1,4497,0.9494769261275582,0.013528497872080011,1,4497,0.8504209377963331,0.03188751059507023,1,4497,0.9648800665363533,0.035119933463646724,1,4497,0.9192744126344707,0.02719698696233537,1,4497,0.8872230777356849,0.01836076708313498,1,4497,0.9878978528486444,0.012102147151355602,1,4497,0.9761731944295862,0.004399206025426322,1,4497,0.9740310369500805,0.0010028239967460558,1
216,299.2204772_8.249491,0.9904904233225975,0.009509576677402487,1,216,0.9883344054274723,0.0015098464067960938,1,216,0.976614835179386,0.0008139046255338983,1,216,0.97923545454604,0.020764545453960004,1,216,0.9629038832825794,0.008528940397532101,1,216,0.9469444438358047,0.004147665228478807,1,216,0.9646605141442992,0.03533948585570079,1,216,0.9186332339765831,0.0275189361972224,1,216,0.8933934251616894,0.01644165287286765,1,216,0.9863834392605508,0.013616560739449168,1,216,0.9761741269594644,0.004398948384952933,1,216,0.9730302579444984,0.0010812420298070996,1
4206,484.3660419_26.943928,0.989215317990491,0.010784682009508995,1,4206,0.9782249126354658,0.003844590568084983,1,4206,0.9067893866025081,0.012627410589380049,1,4206,0.9750167190028471,0.024983280997152857,1,4206,0.9532086319812239,0.012064535230272217,1,4206,0.8718313058613343,0.023588093942383308,1,4206,0.9752884429409929,0.024711557059007072,1,4206,0.9122091450837895,0.030810908164644248,1,4206,0.9049059805756006,0.013134347247408295,1,4206,0.9968822858594346,0.0031177141405653863,1,4206,0.9771884374249713,0.004121684745256418,1,4206,0.9764589187869457,0.0008247507293446698,1
261,491.2993896_9.175612,0.9885000614808798,0.011499938519120234,1,261,0.9775282238238219,0.004030144519711205,1,261,0.8792412190550238,0.020993531241396076,1,261,0.9947880115502918,0.00521198844970816,1,261,0.9742355410785991,0.004945154279686284,1,261,0.8639627207892429,0.026500449444642225,1,261,0.979187278518134,0.02081272148186597,1,261,0.9411171841590118,0.016999776696291536,1,261,0.9386590091106385,0.00552867134531683,1,261,0.9962104066856416,0.0037895933143583527,1,261,0.9884955601021053,0.0014787038692850257,1,261,0.9728053623069463,0.0010992666045853464,1
4299,462.3527909_27.242655,0.9845074364177904,0.015492563582209629,1,4299,0.9737386817169916,0.0050885077953748414,1,4299,0.9220013145440338,0.008888428395614809,1,4299,0.9519395617278974,0.0480604382721026,1,4299,0.9322113131791638,0.020970253467876284,1,4299,0.8721682532936448,0.023466986758962007,1,4299,0.9677595887498556,0.03224041125014443,1,4299,0.9657567583967469,0.0075675058321019615,1,4299,0.9251420055716724,0.008195837399562075,1,4299,0.99289425981871,0.0071057401812899545,1,4299,0.9761731997743651,0.004399204548750188,1,4299,0.9727069772365537,0.0011071982269525884,1
4351,601.4392267_27.380035,0.9820358178536318,0.01796418214636819,1,4351,0.9680575347108287,0.00682016116691003,1,4351,0.925916577313767,0.00802923226863835,1,4351,0.9945570483896061,0.005442951610393876,1,4351,0.9721743413195892,0.005548569340907349,1,4351,0.9059268646287049,0.012858370107293956,1,4351,0.9611509485911126,0.03884905140888739,1,4351,0.9127306774493605,0.03053922220313131,1,4351,0.9149330826169779,0.010546782361349668,1,4351,0.9807736816103364,0.0192263183896636,1,4351,0.9761731973035653,0.004399205231392258,1,4351,0.964747316703711,0.0018422223536944432,1
