row ID,row m/z,row retention time,C7.mzML Peak area,C8.mzML Peak area,C9.mzML Peak area,C10.mzML Peak area,C11.mzML Peak area,C12.mzML Peak area,C13.mzML Peak area,C14.mzML Peak area,C15.mzML Peak area
Bioactivity,,,1,32.5,58.3,36.7,41.3,25.8,13.3,8.3,1
7777,777,7.77,1000,32500,58300,36700,41300,25800,13300,8300,1000
8888,888,8.88,1000,8300,13300,25800,41300,36700,58300,32500,1000
9999,999,9.99,1000,3000,5000,7000,9000,11000,13000,15000,17000
87,192.1020634,5.8716087,0,337699.75,701088.6,541837.9,104466.04,0,0,0,0
4502,792.3819297,27.84342,0,0,0,3016978.8,8034332.5,1234374.4,0,0,0
5477,888.6604544,31.719646,0,0,0,7461890.5,2.34E+07,6552381,53712.066,0,0
4880,890.6398996,28.996426,0,0,1554128,2.37E+07,2.43E+07,3265501,0,0,0
662,164.1071026,15.023798,2245895.8,0,0,0,0,0,0,0,0
3211,616.4264707,23.816866,56372.8,3528948.8,966250.8,0,0,0,0,0,0
3479,337.2737189,24.881966,0,0,2378505.5,3453910.2,0,0,0,0,0
1513,616.4263455,17.69598,3177718.2,0,0,0,0,0,0,0,0
4656,445.3650344,28.264212,0,0,0,0,0,0,3419487,3521364,2233676.2
4258,353.2684181,27.132486,0,0,0,1419181.4,2788812.2,0,0,0,0
5022,367.3205138,29.55717,0,0,0,0,1525039.9,6254678.5,0,0,0
3423,431.8087305,24.656525,0,2809806,5813176.5,1020720.56,0,0,0,0,0
3683,468.8452486,25.427498,0,2184908.8,8442983,2041673.1,0,0,0,0,0
522,347.0428327,13.708216,990464.3,0,0,0,0,0,0,0,0
4149,700.5196091,26.717932,0,152561.45,5.96E+07,8.62E+07,3.54E+07,678538.6,0,0,0
3971,411.2636367,26.284092,0,0,0,1113143.9,312645.8,0,0,0,0
4437,529.046339,27.63475,0,743153.25,4779024.5,490957,0,0,0,0,0
4703,822.370847,28.406937,0,0,0,1756876.2,2661994,2484156,1666633.6,1747839.5,1438057
898,426.3055232,15.831199,3021680,0,0,0,0,0,0,0,0
489,268.0969273,13.283831,1408264.5,0,0,0,0,0,0,0,0
3542,804.4885359,25.030848,0,0,2967862.2,1906080.1,347772.53,0,0,0,0
2718,463.3245662,22.018234,1049525.8,1804576.6,0,0,0,0,0,0,0
2439,263.1643288,20.912104,0,310234.7,1137248.1,0,0,0,0,0,0
253,190.0864188,9.086963,2448415.5,851853.6,1037825.4,0,0,0,0,0,0
2715,729.4544028,22.00707,0,3970785.5,3992364,161671.03,0,0,0,0,0
2659,205.1952847,21.792425,0,3513577.8,1741004.6,405197.9,0,0,0,0,0
4128,683.4935379,26.652033,0,0,5383119,8733791,2694731,0,0,0,0
1254,271.1904515,16.98869,9549753,1805687,0,0,0,0,0,0,0
336,273.1673532,10.485262,0,219037.31,418809,441859.03,862611.44,1792042.5,0,272607,775890.56
394,204.1021793,11.670968,1407264.6,0,0,0,0,0,0,0,0
516,181.0860592,13.623445,2147803.2,0,0,0,0,0,0,0,0
2576,193.1953169,21.476566,0,1852167.8,2562456.8,0,0,0,0,0,0
4550,908.5503951,27.965645,0,0,49211.566,3083485.2,3132949.5,0,0,0,0
1227,412.3059423,16.941723,0,0,403966.16,285074,0,0,0,0,0
434,338.1533143,12.330116,0,502775.62,558625,0,0,0,0,0,0
4924,820.4129154,29.152908,0,0,0,0,1043826.06,1158006.1,0,0,0
24,407.9990051,4.5777764,0,0,0,0,0,0,576414.25,393721.62,0
4619,509.0270998,28.18003,0,0,3985927,524795.06,0,0,0,0,0
4448,548.9000181,27.668861,0,0,6286093.5,7599159,2592647,0,0,0,0
4536,562.8973146,27.930954,0,0,4431261,5527551,1953736.9,0,0,0,0
526,134.0965333,13.780812,3475312.2,653183.6,0,0,0,0,0,0,0
1366,109.1016141,17.303886,4317861,381758.75,0,0,0,0,0,0,0
5287,503.6954107,30.78629,0,0,0,1826136.9,152199.97,0,0,0,0
485,254.0846619,13.168315,1.35E+07,1113405,0,0,0,0,0,0,0
2540,270.1488497,21.326784,0,5753951.5,5965964,0,0,0,0,0,0
1591,274.1438686,18.001205,1853830.1,860480.44,0,0,0,0,0,0,0
3413,477.3403452,24.637266,0,3585914.8,4958949.5,1003497.6,0,0,0,0,0
2834,441.3728761,22.462746,0,0,47348.86,658318.2,0,0,0,0,0
410,168.1384228,12.064328,1309580,2084077.5,792045.1,0,0,0,0,0,0
5270,403.3180176,30.702032,0,0,0,0,893136.5,8321552.5,1311804,0,0
389,342.0739253,11.559019,1056665.1,0,0,0,0,0,0,0,0
3244,483.8504657,23.96579,0,4644125,3927554.5,0,0,0,0,0,0
2560,335.2203955,21.441994,0,3045125.5,4021001.5,0,0,0,0,0,0
2556,255.1955236,21.413164,0,241684.78,1483802.8,0,0,0,0,0,0
4160,774.5563938,26.771378,0,0,2.80E+07,3.89E+07,1.55E+07,0,0,0,0
2035,638.4234958,19.51929,413710.44,1244169.2,570417.2,0,0,0,0,0,0
5278,442.3888262,30.72841,0,0,0,0,0,3399857.2,0,0,0
1540,290.1865421,17.810993,907102.1,920225,0,0,0,0,0,0,0
3035,457.8048317,23.186163,0,1111660.2,0,0,0,0,0,0,0
4171,353.3413718,26.851416,0,0,0,0,0,0,4869234,3186075,6202157
4867,359.2578612,28.927654,0,0,0,0,476629.2,1737133.6,0,0,0
4883,454.3375376,29.003086,0,0,0,2860930,3905977.8,0,0,0,0
5027,314.2686332,29.571812,0,0,0,0,0,1004276.75,0,0,0
2626,236.1646388,21.66854,0,5508546.5,1.00E+07,47150.156,0,0,0,0,0
5087,688.4829627,29.7706,0,0,757490.06,3994846.2,2443790.2,0,0,0,0
2661,718.5308003,21.808668,6134627,1.50E+07,5264233.5,0,0,0,0,0,0
3155,716.5150086,23.585913,0,2.95E+07,3.26E+07,5940020,0,0,0,0,0
2552,279.2319715,21.413164,0,1801929,1688658.5,0,0,0,0,0,0
2086,278.175389,19.778343,0,1221428.1,838235.06,0,0,0,0,0,0
2775,422.3113085,22.221355,0,2319127.2,2419224.8,0,0,0,0,0,0
1500,353.2297387,17.686417,2.72E+07,3.29E+07,8120296,1522205.8,0,0,0,0,0
1979,253.1798627,19.415737,2498943,7605431,2143214.5,0,0,0,0,0,0
3342,675.4757057,24.358482,0,4325715.5,381491.16,0,0,0,0,0,0
2075,607.3818452,19.667103,1109759.6,1502812.8,0,0,0,0,0,0,0
4120,412.3054823,26.641987,0,0,1756792,1.33E+07,1.09E+07,663829.75,0,0,0
5431,423.3831669,31.511932,0,0,0,0,0,1442649.1,478804.6,49312.727,0
2446,383.0760914,20.955137,327688.9,3.06E+07,1.61E+08,1.42E+08,5.62E+07,1.79E+07,6035413,6104325.5,1209876.2
3216,305.2475121,23.863274,0,0,2003467.4,3354433.2,631122.7,0,0,0,0
2127,395.2413679,19.889555,0,406107.6,867446.7,1134953.5,0,0,0,0,0
3518,305.2473632,25.00765,0,0,1.25E+07,1.26E+07,1882989.4,0,0,0,0
2806,553.3947407,22.354183,0,5751914.5,4052756,0,0,0,0,0,0
2476,307.201648,21.04537,0,149547.39,9994990,4553260,212074.89,0,0,0,0
1264,326.1499479,17.023485,2773723.5,3.39E+07,1.40E+07,557764.56,0,0,0,0,0
3178,655.4626294,23.674673,0,2974542.5,5701795,263194.75,0,0,0,0,0
4950,292.2842944,29.237362,0,0,0,0,52407.85,4006042.2,4680196,5772121.5,3909321.5
3372,426.3236632,24.510015,0,4754929,2924764.5,1275800,0,0,0,0,0
1295,523.3127166,17.1551,5050174,0,0,0,0,0,0,0,0
2687,350.1752707,21.891724,0,48194.54,1258077.4,0,0,0,0,0,0
2109,253.1799486,19.804903,902812.8,3.01E+07,7349000.5,0,0,0,0,0,0
2175,405.3010114,20.056238,2879434.8,0,0,0,0,0,0,0,0
4610,309.2784838,28.158638,0,0,0,0,2465787.2,2406283.5,0,0,0
3648,408.3106628,25.343225,0,0,992872.4,6717740.5,1976451.4,0,0,0,0
3975,427.1653793,26.31242,0,0,0,0,0,0,0,932563.5,0
2335,262.1439631,20.568604,0,0,1211678.8,273821.47,0,0,0,0,0
638,535.287804,14.850379,1554883.5,0,0,0,0,0,0,0,0
3483,774.5569758,24.89928,0,1.31E+07,4.11E+07,1.41E+07,2210105.8,0,0,0,0
5,123.0477672,4.4609346,0,0,0,0,0,0,2450618.2,1002685.25,0
1028,380.1241545,16.333647,1206331.1,112968.6,0,0,0,0,0,0,0
1041,279.2320017,16.392569,9744303,295928.78,0,0,0,0,0,0,0
1825,237.1850896,18.801647,880793.9,3155116,0,0,0,0,0,0,0
2999,558.3845457,22.97721,0,1633318.4,0,0,0,0,0,0,0
388,326.0999073,11.559019,1762599.6,0,0,0,0,0,0,0,0
2699,305.2112229,21.968264,0,853499.5,3573862.2,437945.8,0,0,0,0,0
4211,667.4782755,26.981491,0,6918608,2.34E+07,9276557,1833165.6,0,0,0,0
5397,507.3471926,31.281559,0,0,0,0,199629.67,1063148.4,0,0,0
2004,205.1850859,19.461725,1561713.1,5163012.5,1458277.8,0,0,0,0,0,0
4139,846.6139362,26.69047,0,0,7231918,6183744,1018660.94,0,0,0,0
5207,365.3413214,30.350773,0,0,0,0,0,1606407.8,325408.78,0,0
2670,284.2222065,21.83403,0,2320061,1772091.8,0,0,0,0,0,0
1912,762.5207193,19.125227,1140223,0,0,0,0,0,0,0,0
2926,222.1489246,22.77835,0,0,2.62E+07,5.65E+07,1.27E+07,0,0,0,0
1228,232.1909123,16.95975,0,98112.24,963319.6,1417332,303632.97,257785.4,324605.12,991373,657284.25
3197,320.2220401,23.738323,0,1.23E+07,5.46E+07,8291756.5,101534.78,0,0,0,0
3195,309.2060939,23.733383,0,0,7414092.5,4180981.2,0,0,0,0,0
2115,304.2020407,19.851574,149863.89,4290871.5,2472277.5,0,0,0,0,0,0
2632,357.279135,21.692053,0,276184.8,1452892.9,295707,0,0,0,0,0
1706,269.0922046,18.4002,287002.16,2911745,231979.98,0,0,0,0,0,0
4961,456.404523,29.291355,0,0,0,0,1068655.9,1409069.4,0,0,0
3716,672.4097696,25.554916,0,0,6399729,1.06E+07,3839659.8,0,0,0,0
4943,357.239832,29.198402,0,0,0,0,0,2208184,2347298.2,3215845.8,2499768
2791,311.221684,22.267517,0,1030731.2,4235812,0,0,0,0,0,0
2677,311.2217452,21.862892,0,1429495.9,9871482,0,0,0,0,0,0
218,619.4153565,8.249505,0,292607.5,701509.94,614027.9,378621.25,0,0,0,0
1281,656.4341497,17.085936,2074987.1,0,0,0,0,0,0,0,0
4432,155.1066079,27.632519,0,0,0,0,0,0,734445.5,227721.98,0
5249,407.3518239,30.566532,0,0,0,0,0,3082843.5,0,0,0
1686,519.2240252,18.317486,2400741,1618832.4,0,0,0,0,0,0,0
1582,299.2217908,17.985395,8488746,6102234.5,523976.34,0,0,0,0,0,0
2790,269.2112061,22.269613,0,246965.33,4918961.5,383542.44,0,0,0,0,0
872,222.1124813,15.766722,3255501.5,1.09E+07,0,0,0,0,0,0,0
5386,439.3782276,31.236841,0,0,0,0,52087.055,6371309,3170387.2,56769.71,0
2343,616.4627928,20.600092,6.74E+07,6.00E+07,1.42E+07,1073246,0,690688.44,0,0,0
232,354.2389084,8.572528,160612.14,633288.4,1401941,878371,0,0,0,0,0
1398,249.1234206,17.43684,693931,837970.75,0,0,0,0,0,0,0
9,286.1439351,4.562426,0,0,0,0,1325710.1,0,0,0,0
3402,565.3533009,24.57203,0,2200703,5010809,1971958.5,281186.22,0,0,0,0
240,188.1282695,8.762035,654460.6,0,679502,543364.9,391467.88,345884.5,1785277.4,1372388.2,1025232.44
3465,455.2878811,24.83004,0,155954.22,1202556.1,611178.8,0,0,0,0,0
3037,892.6198751,23.196682,0,4223366,2334537.2,0,0,0,0,0,0
1887,177.1639939,19.015022,1328647.8,3424753.2,0,0,0,0,0,0,0
429,537.2347071,12.307034,0,245106.88,911849.7,391782.56,0,0,0,0,0
73,256.1755518,5.449819,104784.08,51457.215,334141.9,406705.6,417752.16,542159.25,0,229313.38,0
3474,309.206015,24.859842,0,0,7232020,1.45E+07,772754.5,0,0,0,0
3617,490.8582841,25.273447,0,2570784.8,8178638,1896531,0,0,0,0,0
1898,460.3064018,19.07278,1856317.9,522243.94,0,0,0,0,0,0,0
918,290.1385791,15.900229,2384916,0,0,0,0,0,0,0,0
1958,297.123563,19.323475,0,1417760.2,423714.3,0,0,0,0,0,0
3750,318.2061489,25.643366,0,0,909247.94,4181765.5,1029985.8,0,0,0,0
1819,343.2844672,18.778557,2969765.2,3241880.5,0,0,0,0,0,0,0
3968,403.3035914,26.251703,0,0,3888497,1898166.4,153964.28,0,0,0,0
1015,315.2530832,16.258049,1.70E+07,906498.9,0,0,0,0,0,0,0
4353,595.3704536,27.399216,0,0,1461528.1,2718952.2,1291902.2,0,0,0,0
567,284.1315788,14.170738,0,0,1351868.9,1481774,0,0,0,0,0
696,380.1239946,15.1374,1.46E+07,235382.03,0,0,0,0,0,0,0
697,220.1331426,15.151023,905596.5,0,0,0,0,0,0,0,0
1056,230.1177097,16.45166,1.28E+07,3610997.2,0,0,0,0,0,0,0
5191,799.068592,30.22268,0,0,662554.5,5365338,924506.5,0,0,0,0
1699,267.1228413,18.34624,743560.94,1304172.5,0,0,0,0,0,0,0
4042,608.4288345,26.450703,0,1.00E+07,3.24E+07,9500088,2822875.2,0,0,0,0
4796,666.4703414,28.67687,0,0,2.42E+07,2.44E+07,9631546,0,0,0,0
4052,519.8792605,26.494326,0,0,9074940,4506181.5,513335.12,0,0,0,0
4611,205.1950114,28.160803,0,0,0,0,4098197.5,2.34E+07,2725573.2,1420329,0
5108,637.3047068,29.878462,0,0,211589.98,96928.08,801440.3,1844503.5,1058623.5,2091219.2,1083699.1
2401,539.3792628,20.785192,1283172.6,3048739.2,48338.797,0,0,0,0,0,0
1185,221.1900895,16.777897,2562931,1060671.8,0,0,0,0,0,0,0
1362,368.197084,17.309856,0,1536644.8,2390602.2,0,0,0,0,0,0
4443,323.294202,27.66087,0,0,0,0,982182.7,743761.75,0,0,0
241,170.1176527,8.7628,1549858.5,49126.05,1415806.1,1189447.6,846896.75,700811.44,3459747,2696525.5,2041784.2
1695,442.3164752,18.340202,1575469.6,0,0,0,0,0,0,0,0
3249,492.3636214,23.955269,922640.1,2.48E+07,1.52E+07,2857301.5,0,0,0,0,0
2135,123.1170933,19.906513,0,4484947,1039205.56,0,0,0,0,0,0
4188,283.2630043,26.872692,0,0,0,985030.4,1488812.9,0,0,0,0
1455,308.2432799,17.529047,9794275,2180417.5,0,0,0,0,0,0,0
552,242.0812105,13.966593,882315.94,0,0,0,0,0,0,0,0
693,228.1594159,15.139494,1332163.4,0,0,0,0,0,0,0,0
1546,305.1385157,17.857246,1591070.2,376502.88,0,0,0,0,0,0,0
3951,325.3101388,26.226208,0,0,0,792868.1,1299687.6,0,0,0,0
5025,456.4045551,29.562979,0,0,0,0,1204516.6,3140190.5,0,0,0
3098,317.2088499,23.435526,0,484732.6,2557929.2,3649682,1174082.9,0,0,0,0
557,244.2637149,14.004895,763861.75,0,579065.2,0,193342.81,0,382252.44,195014.17,0
2100,528.3745664,19.824373,3298544.8,2783351.5,0,0,0,0,0,0,0
3292,344.1045936,24.143068,0,0,456948.88,1087524.1,0,0,0,0,0
1101,351.2143895,16.556164,9695257,4508955.5,0,0,0,0,0,0,0
2290,191.179577,20.43887,0,4568622.5,2226229.8,0,0,0,0,0,0
2518,295.1903614,21.23479,285093.1,4.52E+07,3.33E+07,1014067.75,0,0,0,0,0
1814,194.0637168,18.76759,0,1156227,1562406.6,0,0,0,0,0,0
4863,175.0154568,28.927185,0,0,0,0,0,0,1808658,2466452.5,1845762.4
3544,249.1848644,25.034693,0,0,1946799.5,7520975,839468.44,0,0,0,0
1266,440.1276037,17.02946,3400033.8,242752.73,0,0,0,0,0,0,0
187,230.1177168,7.724992,0,263631.4,278224.28,610833.94,893464.4,412765.53,0,0,0
150,326.1388632,7.0540934,0,0,0,0,1613027.2,0,53916.727,0,0
3684,625.4515752,25.427881,0,0,1.24E+07,7417375.5,597245.2,0,0,0,0
1657,165.0815508,18.248426,246975.66,675320.06,0,0,0,0,0,0,0
5261,565.8908388,30.606506,0,0,0,2045290.2,2883677.5,0,0,0,0
3399,323.2580875,24.569763,0,0,2052673.9,3845841.2,0,0,0,0,0
2779,302.2326462,22.227123,0,2957921.8,1135924.8,0,0,0,0,0,0
326,246.2429146,10.348965,450209.12,0,0,0,3721115,0,3850879.5,0,1397200.1
1283,230.1177459,17.093742,2559720.5,968519.3,0,0,0,0,0,0,0
687,388.16562,15.142475,0,957479.4,363778.3,0,0,0,0,0,0
2917,532.3497808,22.757736,0,1326049.2,92574.09,0,0,0,0,0,0
2374,255.1955557,20.686903,0,4916427.5,3805689.2,0,0,0,0,0,0
2531,429.2823066,21.278925,1817369.8,2.39E+07,1.43E+07,0,0,0,0,0,0
1013,279.2319533,16.258049,1.61E+07,846880.8,0,0,0,0,0,0,0
616,346.1650579,14.687069,661301.8,0,0,0,0,0,0,0,0
1949,252.1595669,19.271631,4938759.5,4370759.5,53030.29,0,0,0,0,0,0
555,195.1494183,13.990738,1178625,0,0,0,0,0,0,0,0
487,251.081703,13.233814,131411.56,221080.06,849520.9,325814,0,0,0,0,0
760,228.1019279,15.493137,3560192,273102.06,0,0,0,0,0,0,0
2602,345.2174025,21.568777,0,4227450.5,3556127,0,0,0,0,0,0
2566,371.3157219,21.441994,0,574764.5,1098960.4,0,0,0,0,0,0
2585,203.1796672,21.488098,0,548226.5,2523833.5,0,0,0,0,0,0
344,246.24293,10.641499,0,0,0,0,3288138,0,2057833.5,0,1010411.2
1564,348.2745393,17.90333,5191887.5,995805.3,0,0,0,0,0,0,0
2378,253.1433994,20.714226,2042929.8,306937.84,0,0,0,0,0,0,0
288,180.1019906,9.62139,8.37E+07,7.23E+07,6.18E+07,3.62E+07,1.81E+07,52608.055,0,0,0
4655,674.4860663,28.271473,0,1227451.8,3.14E+07,1.43E+07,5322296,0,0,0,0
2389,298.118881,20.752598,0,0,752918,0,0,0,0,0,0
5193,600.4312093,30.25925,0,0,0,5708975.5,7000604.5,0,0,0,0
2382,329.1860004,20.725067,0,1383927.9,0,0,0,0,0,0,0
390,474.1760886,11.56485,0,0,0,0,758141.4,0,0,0,0
2630,392.1605034,21.695917,0,3812069,1.13E+07,537395,0,0,0,0,0
868,299.1852674,15.762248,3808767.2,0,0,0,0,0,0,0,0
2888,333.2038033,22.668367,0,0,0,0,606722.7,718275,0,0,0
4963,549.397358,29.293863,0,0,1084886.1,8380872.5,7003135,0,0,0,0
2835,605.2930704,22.469154,1362584.9,2546187.5,322359.3,0,0,0,0,0,0
3476,556.8975333,24.87893,0,2590407.8,3977470,0,0,0,0,0,0
2986,373.2587155,22.920696,0,0,1098838.8,257109.08,0,0,0,0,0
3821,377.2879115,25.83317,0,0,3646001,1.77E+07,1.03E+07,1059314.8,0,0,0
1606,455.1926022,18.07562,1228438.6,0,0,0,0,0,0,0,0
298,342.1813788,9.839429,490531.88,549674.1,458506.1,0,0,0,0,0,0
5156,328.3208445,30.126062,0,0,0,0,0,1445006.9,0,0,0
1298,653.4233402,17.164467,2434202.8,99510.266,0,0,0,0,0,0,0
2970,311.2216227,22.885674,0,48100.91,7206816,979776.44,0,0,0,0,0
1751,168.0678631,18.524872,0,658613.4,1777770.5,0,0,0,0,0,0
998,237.1135603,16.222546,867848.75,0,0,0,0,0,0,0,0
5294,746.5249523,30.834982,0,0,920781.4,7126336,3955620,0,0,0,0
493,234.1126571,13.336485,0,375397.53,732301.44,0,0,0,0,0,0
1268,279.1704015,17.03983,2205247.5,0,0,0,0,0,0,0,0
3570,459.265847,25.185211,0,0,0,0,0,0,7371631.5,2995835.8,0
1232,173.1174199,16.959782,3067261,99258.98,0,0,0,0,0,0,0
504,424.1140342,13.429403,709045,0,0,0,0,0,0,0,0
4301,803.4217245,27.249191,0,0,0,3969366.2,5105937.5,1241377.5,0,0,0
797,253.1433926,15.589489,1539910.9,0,0,0,0,0,0,0,0
2943,543.3794151,22.821638,3104596.2,7097914.5,1300406.6,0,0,0,0,0,0
5427,636.4599698,31.494644,0,0,0,1.75E+07,2.63E+07,0,0,0,0
1287,258.1126533,17.12365,2364932.2,99003.125,0,0,0,0,0,0,0
5459,303.2526194,31.660225,0,0,0,0,0,1336376.9,142633.4,0,0
4518,205.1950682,27.888447,0,0,0,846111.3,3238523.5,7941416.5,228681.86,0,0
2804,258.1489758,22.348373,0,1537220.2,2334059.2,0,0,0,0,0,0
135,227.1753873,6.9396906,1.45E+07,1.39E+07,5.88E+07,5.01E+07,5.02E+07,9879602,7742775.5,6445546.5,5896439.5
282,228.1384436,9.507223,742589.6,1914667.9,3451798.5,4287856,2498976.2,4421937.5,356526.7,700298.9,184614.5
2132,223.2057429,19.895012,0,4869243,1923250.9,0,0,0,0,0,0
1253,205.1952928,16.982933,3443297.8,1262712.9,0,0,0,0,0,0,0
2654,162.0220049,21.777914,448381.53,393606.03,1230203.4,1251792.5,0,0,0,0,0
4918,518.2992896,29.106789,0,0,0,0,1193456.5,1369222.4,0,0,0
1194,178.1227499,16.836601,2355333.8,48555.195,0,0,0,0,0,0,0
1030,311.2216943,16.333647,8509696,2762713.2,0,0,0,0,0,0,0
2789,309.2062146,22.274086,0,0,1800212.9,998085.75,0,0,0,0,0
5098,423.3831937,29.79324,0,0,0,0,0,0,0,626741.6,1946631.2
132,249.1572793,6.9357815,2537351.5,2438769.5,6323139.5,6303201.5,6910162,1909788.1,1560537.1,1396955.1,1142243
274,203.1181489,9.327142,119686.33,1361851.1,3116913.8,1832679.2,476437.78,0,0,0,0
678,396.1707101,15.092548,0,0,1092386,1236490.6,417125.56,0,0,0,0
4399,473.2815327,27.555616,0,0,0,0,0,0,1.37E+07,3817995.5,227034.19
2066,304.2022693,19.630648,0,2822340,440652.53,0,0,0,0,0,0
2960,419.3165067,22.868622,712290.8,6036881.5,2053979.8,0,0,0,0,0,0
641,181.1588226,14.861934,924283.06,0,0,0,0,0,0,0,0
761,298.1188325,15.490339,0,1226698.8,163126.72,0,0,0,0,0,0
3118,400.3056123,23.467522,0,0,5191763.5,1449328,0,0,0,0,0
3495,333.2422844,24.945759,0,98427.78,4086943,1834296.9,48237.516,0,0,0,0
3926,674.4681321,26.102137,0,4083364.5,6541346,1229400.6,0,0,0,0,0
1923,674.468536,19.165222,5879988,964787.7,0,0,0,0,0,0,0
5379,384.3106322,31.213081,0,0,0,0,0,2040246.8,0,0,0
5018,484.3993955,29.522436,0,0,0,0,1520189,5158178.5,0,0,0
756,359.1811628,15.451062,1016666.56,0,0,0,0,0,0,0,0
1676,165.0842858,18.277122,3281396.2,1002434.6,0,0,0,0,0,0,0
3448,387.2846118,24.77989,0,3844189.2,1.49E+07,3685251.5,0,0,0,0,0
398,298.1186747,11.780373,2113083,1237040.2,0,0,0,0,0,0,0
3251,413.2898069,23.980629,0,0,1134540,1858982.5,817367.75,0,0,0,0
3314,565.3919565,24.219822,0,3429204.2,1952670.6,0,0,0,0,0,0
4058,335.2578728,26.496197,0,0,1904063.9,1.81E+07,1.16E+07,792981,0,0,0
4818,860.6294782,28.72752,0,0,5455087,3.40E+07,2.92E+07,2184455,0,0,0
1410,340.1656352,17.458593,0,1904971.5,4945261.5,671556.25,0,0,0,0,0
4012,195.1380272,26.390451,0,0,494514.22,5108720.5,2580625.5,0,0,0,0
573,304.2847845,14.209216,333866.75,0,502176.62,0,527586.2,189786.16,52730.62,1091033.8,879776.94
631,202.08645,14.776683,0,616270.75,1673318.5,106306.42,0,0,0,0,0
904,228.1019238,15.847129,962071,2371514.5,0,0,0,0,0,0,0
5186,874.6450082,30.21871,0,0,0,1.55E+07,3.05E+07,4075669.2,0,0,0
89,176.0707805,5.901989,912972.8,376777.56,154346.17,0,0,0,0,0,0
3258,609.4183007,23.994694,0,1681708.8,549679.3,0,0,0,0,0,0
572,249.1486928,14.208579,897156.6,0,0,0,0,0,0,0,0
4362,349.2946959,27.429337,0,0,0,0,1138893,1643466.6,0,0,0
1635,152.1070856,18.156551,634538.5,1203597.8,0,0,0,0,0,0,0
2231,357.2383461,20.224838,204056.78,1789886.9,0,0,0,0,0,0,0
2323,397.2851971,20.539974,5705942.5,1431612.8,0,0,0,0,0,0,0
3686,572.3996894,25.450584,0,3117212.5,5600253.5,1026872.44,0,0,0,0,0
4186,689.491349,26.85078,0,6566427,1.75E+07,2977208,1157679.9,0,0,0,0
4910,440.3729008,29.072144,0,0,0,0,3676313.8,3807265,0,0,0
2407,423.2742318,20.808243,0,1879924.6,480137.78,0,0,0,0,0,0
1760,241.1799549,18.570961,604500.6,1582808.9,0,0,0,0,0,0,0
80,318.1337181,5.6602435,0,0,0,0,4090102.2,0,0,0,0
1014,297.2425371,16.25881,2.17E+07,1132831.5,103918.68,0,0,0,0,0,0
1740,249.1122455,18.51327,0,869382.25,0,0,0,0,0,0,0
3060,163.1481837,23.305275,0,0,2213570.5,342663.88,0,0,0,0,0
2094,341.1960534,19.812742,2359881.8,4772557.5,546779,0,0,0,0,0,0
3706,396.3318136,25.513334,0,0,907071.3,3881448.2,2994940.8,463810.5,0,0,0
3857,469.3424752,25.87965,0,1.62E+07,5.50E+07,2.08E+07,8013933.5,0,0,0,0
