row_IDs,IDs,cor_coeffs,p_values,adjusted_p_values,delta_cor_p,indexes,C7.mzML Peak area,C8.mzML Peak area,C9.mzML Peak area,C10.mzML Peak area,C11.mzML Peak area,C12.mzML Peak area,C13.mzML Peak area,C14.mzML Peak area,C15.mzML Peak area
227,485.3337407_8.532546,0.9058133698020985,0.0007692111682247445,1,0.9050441586338738,0,-0.8047898197706431,-0.007640299118844131,1.8183349421382755,1.1633524130220785,1.0497627291870497,-0.8047800194988742,-0.8047567173695996,-0.8047469018683159,-0.8047363267211278
3916,433.3321921_26.053377,0.9041207805222313,0.0008172955028505882,1,0.9033034850193807,0,-0.7580002662936605,0.02298528555295904,2.1969476129303014,0.9687756641826275,0.6012896652929787,-0.758000047971612,-0.757999528866763,-0.7579993102054443,-0.7579990746213859
229,507.3157224_8.5325775,0.9015502816713137,0.0008942721302981771,1,0.9006560095410155,0,-0.844136789951518,0.22658006734109093,1.5405670826745401,1.1884659026574758,1.2649818469033531,-0.8441305255536294,-0.8441156306800105,-0.8441093565473161,-0.8441025968439855
3499,477.3010551_24.94286,0.8911125609379797,0.0012591129549122746,1,0.8898534479830674,0,-0.7648904479256736,0.16358757186405673,2.132580432003985,1.1717515373404759,0.3565039801558582,-0.7648884276868595,-0.7648836241602713,-0.7648816007820282,-0.764879420809542
216,299.2204772_8.249491,0.8877774843546097,0.0013946216704394058,1,0.8863828626841703,0,-0.8284325025922457,0.42525267180443915,1.7256431023715517,1.4580720865224088,0.5330269147975574,-0.8284207027934137,-0.8283926463839305,-0.8283808282483406,-0.8283680954780278
4299,462.3527909_27.242655,0.8873609856386965,0.0014122258041151991,1,0.8859487598345813,0,-0.9237047770622362,-0.5178542186380257,1.4428683104389715,1.4226345455099965,1.064557377801117,0.2826107575876524,-0.9237041801177075,-0.9237040031121247,-0.9237038124076424
4060,528.3923249_26.496937,0.8871313822001919,0.0014219961115173327,1,0.8857093860886746,0,-0.724853170464805,-0.011707962462565108,2.3103940027875267,0.9423492726955466,0.3832278697488953,-0.7248529826701019,-0.7248525361501937,-0.7248523480636597,-0.7248521454206439
218,619.4153565_8.249505,0.8865971317978176,0.0014449115094356234,1,0.885152220288382,0,-0.8528640866630879,0.28805017014014656,1.386321195075174,1.3442990963294055,1.245523920361079,-0.8528552193460948,-0.8528341355055888,-0.8528252544088823,-0.8528156859821514
3879,447.3295552_25.989569,0.8841091086238156,0.0015550140852933936,1,0.8825540945385223,0,-0.7226195550836592,0.07337254136076053,2.3376874510971257,0.9144642378863903,0.2875712474956164,-0.7226193934563033,-0.722619009154559,-0.7226188472760361,-0.7226186728693343
4257,645.4653914_27.12685,0.8824429413942454,0.0016319173592677253,1,0.8808110240349777,0,-0.7216068922300088,0.14913791070962684,2.3583096969086337,0.8719397715723665,0.22864301416628374,-0.7216066060736598,-0.7216059256790344,-0.7216056390780013,-0.7216053302962062
4127,506.3793726_26.650297,0.8821914600742832,0.001643749152776807,1,0.8805477109215064,0,-0.7207726456562228,-0.19506869262823326,2.2345564698820772,1.0537676773567075,0.5106049061764647,-0.7207724439371049,-0.7207719643090833,-0.7207717622764962,-0.7207715446081079
