row ID,row m/z,row retention time,L9.mzML Peak area,CE.mzML Peak area,L5.mzML Peak area,L10.mzML Peak area,L8.mzML Peak area,L4.mzML Peak area,L2.mzML Peak area,L3.mzML Peak area,L11.mzML Peak area,L7.mzML Peak area,L6.mzML Peak area,L17.mzML Peak area,L18.mzML Peak area,L15.mzML Peak area,L13.mzML Peak area,L14.mzML Peak area,L16.mzML Peak area,L12.mzML Peak area,L1.mzML Peak area
1291,232.1545294,13.449573,752321.25,314365.44,467032.60,874027.80,711491.60,379080.06,378564.97,396786.10,553933.75,720064.50,595827.70,0.00,0.00,0.00,398994.40,286122.75,285778.97,640391.00,0.00
1882,624.4072705,18.69293,4201613.00,6631495.50,4686649.00,4210749.00,3603061.80,5545662.50,8299325.50,7276716.50,5632722.50,4532115.50,5248282.00,14000000.00,3339313.00,1505215.10,2757842.80,2174801.50,2948198.20,4530162.50,10700000.00
1316,370.2590267,13.748217,0.00,0.00,452584.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,478300.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
601,227.127901,8.469522,0.00,677621.94,362968.78,0.00,0.00,635983.94,828218.40,864316.06,0.00,0.00,49666.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,151702.56
2981,219.1742333,28.224304,0.00,0.00,2859989.00,0.00,0.00,0.00,0.00,0.00,0.00,98015.80,1947911.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2795,243.1169751,26.832846,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1934894.00
1159,144.0809164,12.274883,3987467.00,5454549.50,7483666.50,3629942.20,5273687.50,7260058.50,4914233.50,6045712.00,2106648.20,6341681.50,7482463.50,511235.34,640705.44,1275781.40,1505600.80,1083099.00,1094978.20,2013264.10,961437.90
2124,437.1935653,20.97312,0.00,0.00,0.00,0.00,507609.62,0.00,225619.19,0.00,0.00,0.00,0.00,0.00,0.00,248085.55,0.00,49099.20,295970.66,242972.53,894253.06
1089,327.1553614,11.566464,614909.60,315473.66,311135.40,825282.56,580720.60,332342.34,358491.72,395092.22,609819.75,492213.84,413612.78,224542.72,315873.22,259575.10,553319.75,458555.34,478338.47,617140.44,101202.77
1354,240.1232292,14.168767,687863.44,746321.30,1332818.10,697292.75,1150687.60,1478307.40,943107.70,1427372.50,378352.56,1205309.90,1361805.20,0.00,0.00,0.00,51337.84,0.00,0.00,375925.75,167473.48
1537,302.3053598,15.933343,5444972.50,6438733.00,3011405.00,7428414.50,4631725.50,3351807.00,8858875.00,5747599.50,5772983.50,4003157.50,2909323.20,5898054.50,8157102.00,6174098.00,6779975.00,7321500.00,9007869.00,7863975.00,10400000.00
598,193.0498212,8.452052,286702.30,0.00,0.00,546024.06,108727.15,0.00,0.00,0.00,384819.97,0.00,0.00,501867.12,687053.70,562696.10,586708.30,660800.94,842859.00,616977.80,0.00
1308,181.086136,13.625008,0.00,434914.10,107245.09,0.00,0.00,604161.60,829257.56,833782.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1770,607.3813706,17.49198,1010114.06,1780614.50,1082523.10,964120.10,706312.75,1287107.60,2484621.50,1896333.40,1364018.40,996895.56,1271340.40,1374942.90,215738.50,0.00,315289.80,154318.66,398759.30,929499.60,3703657.50
2058,298.2741207,20.444086,0.00,0.00,0.00,0.00,0.00,0.00,101070.14,0.00,917420.06,0.00,0.00,513244.94,827538.90,2582453.50,1502813.00,2200416.80,728688.06,1860231.40,6354843.00
2989,470.3414629,28.263577,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,767063.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3178,458.3835096,29.921331,0.00,0.00,0.00,536251.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1979,419.2406056,19.81813,0.00,733395.56,0.00,0.00,0.00,160204.72,0.00,52690.16,0.00,0.00,0.00,231383.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2559,315.1954727,24.810627,0.00,0.00,1557378.20,0.00,0.00,0.00,0.00,0.00,0.00,102847.48,1630604.20,0.00,0.00,355518.80,0.00,0.00,0.00,0.00,0.00
2464,279.2318734,24.076912,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,578893.20,103308.67,389541.62,0.00,355856.00,6510560.50
152,178.1228192,5.500425,0.00,1023270.40,1021117.00,51586.95,223971.70,1335333.50,1528511.50,1582352.80,0.00,488304.10,713808.10,0.00,0.00,0.00,0.00,0.00,0.00,51323.44,233964.08
760,146.1176504,9.438827,232977.47,2145431.20,1835428.80,368397.03,482376.62,2437140.20,3082526.80,3028724.50,101824.27,862744.75,1071655.40,0.00,0.00,0.00,0.00,0.00,0.00,404718.78,1348409.80
2787,564.4031731,26.688663,0.00,886997.60,0.00,0.00,0.00,0.00,2154541.00,738080.90,0.00,0.00,0.00,0.00,335423.72,0.00,0.00,0.00,0.00,0.00,5436232.50
2965,425.2144465,28.122276,294460.06,202511.00,297599.25,494746.88,102239.74,289329.84,265078.44,435897.12,311590.44,0.00,162044.62,299978.00,503610.56,604079.20,289739.03,374637.06,605218.00,383078.88,1384069.80
1767,500.379508,17.479885,0.00,3810159.50,1352764.60,0.00,0.00,3234802.20,6644106.00,4897994.50,0.00,370483.20,1040439.40,1171709.10,0.00,0.00,0.00,0.00,0.00,0.00,8261724.00
