row ID,MZ_RT,cor, p_value,p_value_corrected,L9,CE,L5,L10,L8,L4,L2,L3,L11,L7,L6,L17,L18,L15,L13,L14,L16,L12,L1
,Bioactivity,0,0,0,12.9,36.3,13.8,20.4,14.6,10.4,14.2,8.3,24.6,18.8,15.8,35.8,55.8,27.9,47.5,41.7,40,39.6,10
2119,787.1266069_20.949766,0.925583328,1.37E-08,3.20E-05,3.72E-04,4.91E-04,1.22E-04,4.97E-04,2.26E-04,1.72E-04,8.58E-05,1.41E-04,7.43E-04,1.76E-04,1.57E-04,1.09E-03,2.23E-03,7.23E-04,1.13E-03,1.12E-03,1.45E-03,1.09E-03,1.72E-10
2120,383.0759826_20.949451,0.902523414,1.26E-07,0.000292538,0.00361331,0.00306907,0.001614629,0.003969322,0.002669553,0.001838912,0.001426464,0.001709641,0.005429683,0.001830344,0.001890327,0.007260229,0.013042115,0.005428899,0.007033557,0.007097722,0.00837065,0.006420406,0.000538332
2118,405.0580054_20.94552,0.873772393,1.02E-06,0.002379148,0.002441489,0.001436382,0.000896653,0.002375688,0.001775437,0.001147973,0.000799903,0.000999367,0.003303274,0.001028466,0.001034827,0.00410982,0.005802006,0.003048006,0.00422083,0.004095465,0.00461517,0.003137373,0.000158885
954,268.1294665_10.531303,0.863193508,1.95E-06,0.004541704,4.84E-10,2.22E-10,2.58E-10,1.30E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,1.25E-04,2.66E-10,2.74E-10,2.08E-04,3.02E-04,1.97E-04,2.40E-04,2.38E-04,3.23E-04,1.80E-04,1.72E-10
1759,430.1375249_17.39666,0.863144816,1.96E-06,0.004554674,4.84E-10,2.22E-10,2.58E-10,1.29E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,1.14E-04,2.66E-10,2.74E-10,2.40E-04,4.20E-04,2.18E-04,2.42E-04,2.54E-04,3.61E-04,1.50E-04,1.72E-10
913,350.1501304_10.3947735,0.858228645,2.60E-06,0.006041427,2.46E-05,2.22E-10,2.58E-10,1.23E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,9.00E-05,2.66E-10,2.74E-10,2.60E-04,3.63E-04,2.08E-04,2.11E-04,2.58E-04,3.29E-04,1.66E-04,1.72E-10
1878,444.1530589_18.667807,0.857399234,2.72E-06,0.006329793,4.84E-10,2.22E-10,2.58E-10,1.45E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,2.66E-05,2.66E-10,2.74E-10,2.22E-04,4.20E-04,2.03E-04,2.47E-04,2.63E-04,3.80E-04,1.61E-04,1.72E-10
1060,328.1295644_11.283366,0.855210789,3.07E-06,0.007148618,2.73E-05,2.22E-10,2.58E-10,1.34E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,1.23E-04,2.66E-10,2.74E-10,2.68E-04,4.04E-04,2.30E-04,2.37E-04,2.60E-04,3.61E-04,1.60E-04,1.72E-10
1037,239.102901_11.140277,0.854739697,3.16E-06,0.007336407,4.84E-10,2.22E-10,2.58E-10,1.20E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,1.11E-04,2.66E-10,2.74E-10,2.19E-04,3.24E-04,1.99E-04,2.12E-04,2.26E-04,3.03E-04,1.27E-04,1.72E-10
1268,246.0764256_13.161326,0.854022065,3.28E-06,0.007630683,4.84E-10,2.22E-10,2.58E-10,1.25E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,9.02E-05,2.66E-10,2.74E-10,1.75E-04,3.01E-04,1.60E-04,1.76E-04,1.87E-04,2.96E-04,1.51E-04,1.72E-10
1243,329.1246195_12.920888,0.852174131,3.63E-06,0.008435967,4.84E-10,2.22E-10,2.58E-10,6.76E-05,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.29E-05,2.66E-10,2.74E-10,2.34E-04,3.14E-04,1.72E-04,1.69E-04,2.06E-04,2.84E-04,1.17E-04,1.72E-10
1394,271.06023_14.760498,0.848431948,4.43E-06,0.010294628,4.84E-10,2.22E-10,2.58E-10,9.78E-05,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.87E-05,2.66E-10,2.74E-10,3.42E-04,4.90E-04,2.98E-04,2.65E-04,3.38E-04,4.28E-04,1.70E-04,1.72E-10
957,230.1026001_10.576381,0.846914161,4.79E-06,0.01114381,7.80E-05,2.22E-10,2.58E-10,1.67E-04,2.23E-05,3.06E-10,2.66E-10,2.94E-10,1.72E-04,2.66E-10,2.74E-10,3.13E-04,5.04E-04,2.96E-04,2.90E-04,3.26E-04,4.36E-04,1.96E-04,1.72E-10
383,301.1295563_7.362596,0.846801147,4.82E-06,0.011209395,4.76E-05,2.22E-10,2.58E-10,1.30E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,1.20E-04,2.66E-10,2.74E-10,2.35E-04,3.82E-04,2.11E-04,2.21E-04,2.41E-04,3.65E-04,1.56E-04,1.72E-10
953,277.1298255_10.535282,0.845783325,5.08E-06,0.011815265,4.84E-10,2.22E-10,2.58E-10,9.71E-05,4.22E-10,3.06E-10,2.66E-10,2.94E-10,1.11E-04,2.66E-10,2.74E-10,2.88E-04,4.97E-04,2.52E-04,2.29E-04,2.60E-04,3.94E-04,1.35E-04,1.72E-10
799,338.1111148_9.596092,0.845319148,5.20E-06,0.012100842,5.14E-05,3.24E-05,2.58E-10,9.19E-05,2.05E-05,3.06E-10,2.66E-10,2.94E-10,1.18E-04,2.66E-10,2.74E-10,2.29E-04,2.76E-04,2.25E-04,1.93E-04,2.33E-04,2.28E-04,1.04E-04,1.72E-10
531,248.0588141_8.057978,0.844686588,5.38E-06,0.012499613,1.76E-04,6.88E-05,2.58E-10,2.28E-04,9.69E-05,3.06E-10,2.66E-10,2.94E-10,2.01E-04,4.11E-05,2.74E-10,2.89E-04,4.87E-04,2.66E-04,2.86E-04,3.52E-04,4.52E-04,2.25E-04,1.72E-10
904,279.0766851_10.293961,0.843617681,5.68E-06,0.013199311,5.01E-05,2.22E-10,2.58E-10,1.34E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,1.23E-04,2.66E-10,2.74E-10,2.83E-04,3.97E-04,2.50E-04,2.50E-04,2.72E-04,4.00E-04,1.73E-04,1.72E-10
960,246.0763463_10.593437,0.842525782,6.00E-06,0.013948768,3.78E-04,5.29E-05,2.58E-10,6.21E-04,2.40E-04,3.06E-10,6.45E-05,4.85E-05,7.17E-04,1.10E-04,5.05E-05,1.19E-03,1.60E-03,9.45E-04,1.06E-03,1.13E-03,1.48E-03,6.89E-04,1.02E-05
936,284.1030839_10.448055,0.841945537,6.18E-06,0.014361797,5.13E-05,2.22E-10,2.58E-10,1.57E-04,2.06E-05,3.06E-10,2.66E-10,2.94E-10,1.28E-04,2.66E-10,2.74E-10,1.91E-04,3.20E-04,1.64E-04,1.92E-04,2.27E-04,3.09E-04,1.64E-04,1.72E-10
1009,281.0924044_10.898502,0.841415137,6.34E-06,0.014748551,4.84E-10,2.22E-10,2.58E-10,7.14E-05,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.39E-05,2.66E-10,2.74E-10,2.67E-04,3.37E-04,1.74E-04,1.72E-04,2.18E-04,3.10E-04,1.16E-04,1.72E-10
1348,365.1499501_14.112869,0.841340031,6.37E-06,0.014804037,8.00E-05,2.22E-10,2.58E-10,1.43E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,1.36E-04,2.66E-10,2.74E-10,2.18E-04,3.06E-04,1.80E-04,2.04E-04,2.12E-04,2.76E-04,1.67E-04,1.72E-10
1129,408.1555654_12.0370655,0.840825749,6.53E-06,0.015188845,4.84E-10,2.16E-05,2.58E-10,9.23E-05,4.22E-10,3.06E-10,2.66E-10,2.94E-10,7.88E-05,2.66E-10,2.74E-10,2.82E-04,4.16E-04,2.34E-04,1.81E-04,2.09E-04,3.59E-04,1.36E-04,1.72E-10
1499,408.1192438_15.638751,0.840565233,6.62E-06,0.01538705,2.48E-05,2.22E-10,2.58E-10,1.29E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,1.20E-04,2.66E-10,2.74E-10,3.49E-04,5.69E-04,2.70E-04,2.44E-04,2.97E-04,4.55E-04,1.67E-04,1.72E-10
1641,418.1397359_16.412102,0.839346854,7.03E-06,0.016343976,4.26E-04,8.24E-05,4.02E-05,5.56E-04,3.12E-04,3.06E-10,2.66E-10,2.94E-10,5.70E-04,1.55E-04,9.07E-05,1.10E-03,1.46E-03,7.88E-04,8.73E-04,9.67E-04,1.30E-03,6.19E-04,1.72E-10
1032,264.0868382_11.115141,0.838588122,7.30E-06,0.016965512,1.03E-04,2.22E-10,2.58E-10,1.70E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,2.00E-04,2.66E-10,2.74E-10,4.19E-04,5.81E-04,3.20E-04,3.03E-04,3.53E-04,4.96E-04,2.25E-04,1.72E-10
1230,456.1405112_12.815839,0.838200455,7.44E-06,0.017290886,1.45E-04,3.73E-05,2.58E-10,1.99E-04,6.89E-05,3.06E-10,2.66E-10,2.94E-10,1.92E-04,2.66E-10,2.74E-10,4.48E-04,7.22E-04,3.77E-04,3.39E-04,3.70E-04,5.83E-04,2.37E-04,1.72E-10
