row_IDs_x,IDs,cor_coeffs_x,p_values_x,adjusted_p_values_x,row_IDs_y,cor_coeffs_y,p_values_y,adjusted_p_values_y,row_IDs,cor_coeffs,p_values,adjusted_p_values
2119,787.1266069_20.949766,0.9541514458778806,1.0112548179067544e-08,2.351167451633204e-05,2119,0.9562131591067725,2.086604758169584e-09,4.851356062744283e-06,2119,0.9294802531224655,2.4611487084471675e-08,5.7221707471396645e-05
2120,383.0759826_20.949451,0.9470892774782125,2.7050355471076885e-08,6.289207647025376e-05,2120,0.9494644631224092,5.994745798444095e-09,1.3937783981382521e-05,2120,0.9120603929817416,1.3608256760054112e-07,0.0003163919696712581
2118,405.0580054_20.94552,0.9432595379859063,4.366695729652066e-08,0.00010152567571441053,2118,0.9450945126471726,1.102429692645822e-08,2.563149035401536e-05,2118,0.8944616747005543,5.531593692941701e-07,0.0012860955336089456
1403,271.060215_14.881033,0.9337271922443988,1.2621421175673565e-07,0.0002934480423344104,1403,0.9354950558300493,3.5886265251406e-08,8.343556670951894e-05,1403,0.8502829585210556,7.848120820565863e-06,0.018246880907815632
954,268.1294665_10.531303,0.928341628857393,2.149387889041108e-07,0.0004997326842020577,954,0.9314516777728663,5.594762683132832e-08,0.00013007823238283834,954,0.8568779151836179,5.59403621035824e-06,0.013006134189082908
1348,365.1499501_14.112869,0.9246248939862293,3.031628038759028e-07,0.0007048535190114741,1348,0.9278451352343394,8.131563738002794e-08,0.00018905885690856497,1348,0.8519866419718429,7.2020091052648445e-06,0.016744671169740762
1759,430.1375249_17.39666,0.9232237249984577,3.43575343523375e-07,0.0007988126736918469,1759,0.9267355500873025,9.087779543113665e-08,0.0002112908743773927,1759,0.8579568216631438,5.28424344200928e-06,0.012285866002671576
913,350.1501304_10.3947735,0.9220395694910657,3.8120548225789536e-07,0.0008863027462496068,913,0.9255947565665185,1.016997902832365e-07,0.00023645201240852487,913,0.8549072907277103,6.20023279462365e-06,0.014415541247499986
1045,439.2555262_11.166623,0.9204286936925724,4.379642096010849e-07,0.0010182667873225224,1045,0.9210952463636,1.5587764483531657e-07,0.00036241552424211103,1045,0.8501816013075527,7.888077082458043e-06,0.01833977921671495
1060,328.1295644_11.283366,0.9188991870269342,4.983310548058433e-07,0.0011586197024235857,1060,0.9226050428509125,1.3545557101803772e-07,0.0003149342026169377,1060,0.8518267765542786,7.260630381873105e-06,0.016880965637854968
1641,418.1397359_16.412102,0.9181665835068581,5.296547781900672e-07,0.0012314473592919062,1641,0.9216779414021243,1.4770335241766262e-07,0.0003434102943710656,1641,0.85247264786588,7.026280722563975e-06,0.016336102679961242
1028,328.129285_11.076705,0.9161028649625382,6.270100435277865e-07,0.0014577983512021038,1028,0.9196939028479872,1.771415943401214e-07,0.00041185420684078226,1028,0.8506302406967751,7.71253086068374e-06,0.017931634251089696
1146,415.1977276_12.121241,0.91394498771671,7.446136630780158e-07,0.0017312267666563868,1146,0.9168540525976725,2.2795907689508647e-07,0.000530004853781076,1146,0.8511273631010565,7.521936340842668e-06,0.017488501992459205
1878,444.1530589_18.667807,0.913720567177524,7.578509129098832e-07,0.0017620033725154784,1878,0.91709561724301,2.2319848318497272e-07,0.0005189364734050616,1878,0.8529270472497796,6.8653199292525885e-06,0.015961868835512268
531,248.0588141_8.057978,0.9125416238196957,8.307113980928749e-07,0.0019314040005659343,531,0.9159825466388785,2.4586497802114815e-07,0.0005716360738991695,531,0.8678923213481025,3.056774774769611e-06,0.007107001351339346
1049,243.0879615_11.2186,0.8872714055826004,4.582126236140146e-06,0.01065344349902584,1049,0.8916212280500357,1.5432542190198593e-06,0.0035880660592211727,1049,0.8616978694166064,4.321274268337339e-06,0.010046962673884314
