row_IDs,IDs,cor_coeffs,p_values,adjusted_p_values,delta_cor_p,indexes,L9.mzML Peak area,CE.mzML Peak area,L5.mzML Peak area,L10.mzML Peak area,L8.mzML Peak area,L4.mzML Peak area,L2.mzML Peak area,L3.mzML Peak area,L11.mzML Peak area,L7.mzML Peak area,L6.mzML Peak area,L17.mzML Peak area,L18.mzML Peak area,L15.mzML Peak area,L13.mzML Peak area,L14.mzML Peak area,L16.mzML Peak area,L12.mzML Peak area,L1.mzML Peak area
2119,787.1266069_20.949766,0.9255833277916055,1.3744932849078614e-08,3.195696887410778e-05,0.9255513708227313,0,-0.45275669858369844,-0.246577446954575,-0.888609065752843,-0.2363167720838728,-0.7081377329202448,-0.8022374382356469,-0.9518727363381357,-0.8554629437601224,0.1926559571294068,-0.7955739039835694,-0.8271465780724457,0.7945084752428182,2.7844445021595345,0.1579820849224764,0.8653773720003018,0.8546778967907245,1.4195664676324993,0.7967835272011754,-1.1013049663937822
2120,383.0759826_20.949451,0.9025234140550851,1.2582288077330846e-07,0.00029253819779794215,0.9022308758572871,0,-0.2647033672705451,-0.44016066049321256,-0.9090570724366991,-0.14992880904822534,-0.568960831902405,-0.8367507377552363,-0.9697195688471475,-0.878426445349389,0.3208762298389916,-0.839512997343929,-0.8201750713051903,0.9110249577812891,2.775044293909008,0.3206234771330362,0.837948337992492,0.858634463764623,1.2690130300388411,0.6402746619720574,-1.2560438906783649
2118,405.0580054_20.94552,0.8737723932052323,1.0232894765942793e-06,0.0023791480330816995,0.8713932451721506,0,-0.0013127332010285644,-0.6488605999580382,-0.9965843174211196,-0.04370602767337377,-0.4304213971693031,-0.8346701122050871,-1.0589163969381046,-0.9304103079476738,0.5538982284741271,-0.9116628109299701,-0.9075649852282133,1.0735211939201803,2.163723854999463,0.38943967232982385,1.145039737278234,1.0642729102481328,1.3990960462287088,0.4470148786688612,-1.4718968334756206
954,268.1294665_10.531303,0.8631935082730109,1.953421215263553e-06,0.004541704325487761,0.8586518039475232,0,-0.8774833408942201,-0.8774855891463796,-0.8774852848629632,0.24152955145207639,-0.8774838789742232,-0.8774848685771243,-0.8774852159597766,-0.8774849784560497,0.19104614901033995,-0.8774852141875666,-0.8774851455058353,0.9105708716466271,1.7114758414621183,0.8144297524442156,1.1782607785552086,1.1609906528732437,1.8972782338159297,0.6692677052081576,-0.87748601990378
1759,430.1375249_17.39666,0.8631448157501943,1.9589996959321984e-06,0.004554674293042361,0.858590141457152,0,-0.8266986805568515,-0.8267006146992468,-0.82670035292814,0.12566344453643294,-0.8266991434601525,-0.826699994802791,-0.8267002936516156,-0.8267000893302162,0.015588844089902971,-0.8267002921270061,-0.8267002330409967,0.946066526608575,2.270652821975337,0.7790635232887065,0.9613339204721965,1.0481362970876618,1.841524430313991,0.27897087149851024,-0.826700985274294
913,350.1501304_10.3947735,0.858228645358735,2.59846309117175e-06,0.006041426686974319,0.8521872186717607,0,-0.6603901361942073,-0.8575597333208457,-0.857559449124377,0.1306647978542668,-0.8575581360438951,-0.8575590603192074,-0.8575593847697613,-0.8575591629445918,-0.13657385309235984,-0.8575593831145419,-0.8575593189667625,1.226400203441068,2.0500638925952144,0.8101698718375558,0.8368400136423118,1.2099377410642735,1.7768894635780943,0.47403176952001647,-0.8575601356422518
1878,444.1530589_18.667807,0.857399233616445,2.722491413068634e-06,0.006329792535384574,0.8510694410810604,0,-0.7862380459565609,-0.7862399386114652,-0.7862396824553672,0.2640948348447489,-0.7862384989305534,-0.7862393320118322,-0.7862396244503282,-0.7862394245116374,-0.5939764226148276,-0.7862396229584219,-0.7862395651398115,0.8200888458779299,2.246018046394041,0.6794496026900129,0.9977229249282042,1.1165570008296017,1.9582551113947597,0.37418409191915686,-0.7862403012376514
1060,328.1295644_11.283366,0.8552107891549436,3.074674499898032e-06,0.007148618212262924,0.8480621709426808,0,-0.6580726613675387,-0.860060632933362,-0.8600603701635945,0.1310589048183492,-0.8600591560814684,-0.8600600106719918,-0.8600603106609291,-0.8600601055600406,0.05404440898631636,-0.8600603091305032,-0.8600602498190799,1.1237003124043015,2.1359892463525547,0.8445198269284258,0.8989599723355456,1.066187212074795,1.8162414365613502,0.3279134908490316,-0.8600610049221584
1037,239.102901_11.140277,0.8547396967753905,3.1554439737920915e-06,0.0073364072390666125,0.8474032895363239,0,-0.8534137839199651,-0.85341609130615,-0.8534157790194038,0.1998103260886166,-0.8534143361526675,-0.8534153517843228,-0.8534157083039104,-0.853415464553308,0.12408217676018957,-0.8534157064850874,-0.853415635996874,1.075942120911706,1.9994618750806752,0.8953148474352391,1.0153256314288632,1.1410444941945272,1.8167441969639788,0.2664287220513191,-0.8534165333934267
1268,246.0764256_13.161326,0.8540220650340185,3.282014001134199e-06,0.007630682552637013,0.8463913824813815,0,-0.8485841948290327,-0.8485867377425235,-0.848586393578991,0.3647872546065276,-0.8485848034310942,-0.8485859227337297,-0.8485863156451873,-0.8485860470136511,0.027299297290520858,-0.8485863136407072,-0.8485862359573831,0.8500231765835218,2.0682871265562377,0.7027652413235572,0.8554176375403896,0.9692279348395196,2.0289161340198167,0.6191363867682326,-0.8485872249560238
