row ID,row m/z,row retention time,L9.mzML Peak area,CE.mzML Peak area,L5.mzML Peak area,L10.mzML Peak area,L8.mzML Peak area,L4.mzML Peak area,L2.mzML Peak area,L3.mzML Peak area,L11.mzML Peak area,L7.mzML Peak area,L6.mzML Peak area,L17.mzML Peak area,L18.mzML Peak area,L15.mzML Peak area,L13.mzML Peak area,L14.mzML Peak area,L16.mzML Peak area,L12.mzML Peak area,L1.mzML Peak area
Bioactivity,,,12.9,36.3,13.8,20.4,14.6,10.4,14.2,8.3,24.6,18.8,15.8,35.8,55.8,27.9,47.5,41.7,40,39.6,10
7777,777,7.77,12900,36300,13800,20400,14600,10400,14200,8300,24600,18800,15800,35800,55800,27900,47500,41700,40000,39600,10000
8888,888,8.88,10000,39600,40000,41700,47500,27900,55800,35800,15800,18800,24600,8300,14200,10400,14600,20400,13800,36300,12900
9999,999,9.99,5000,7000,9000,11000,13000,15000,17000,19000,21000,23000,25000,27000,29000,31000,33000,35000,37000,39000,41000
1291,232.1545294,13.449573,752321.25,314365.44,467032.6,874027.8,711491.6,379080.06,378564.97,396786.1,553933.75,720064.5,595827.7,0,0,0,398994.4,286122.75,285778.97,640391,0
1882,624.4072705,18.69293,4201613,6631495.5,4686649,4210749,3603061.8,5545662.5,8299325.5,7276716.5,5632722.5,4532115.5,5248282,1.40E+07,3339313,1505215.1,2757842.8,2174801.5,2948198.2,4530162.5,1.07E+07
1316,370.2590267,13.748217,0,0,452584.75,0,0,0,0,0,0,0,478300.66,0,0,0,0,0,0,0,0
601,227.127901,8.469522,0,677621.94,362968.78,0,0,635983.94,828218.4,864316.06,0,0,49666.742,0,0,0,0,0,0,0,151702.56
2981,219.1742333,28.224304,0,0,2859989,0,0,0,0,0,0,98015.8,1947911.8,0,0,0,0,0,0,0,0
2795,243.1169751,26.832846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1934894
1159,144.0809164,12.274883,3987467,5454549.5,7483666.5,3629942.2,5273687.5,7260058.5,4914233.5,6045712,2106648.2,6341681.5,7482463.5,511235.34,640705.44,1275781.4,1505600.8,1083099,1094978.2,2013264.1,961437.9
2124,437.1935653,20.97312,0,0,0,0,507609.62,0,225619.19,0,0,0,0,0,0,248085.55,0,49099.203,295970.66,242972.53,894253.06
1089,327.1553614,11.566464,614909.6,315473.66,311135.4,825282.56,580720.6,332342.34,358491.72,395092.22,609819.75,492213.84,413612.78,224542.72,315873.22,259575.1,553319.75,458555.34,478338.47,617140.44,101202.766
1354,240.1232292,14.168767,687863.44,746321.3,1332818.1,697292.75,1150687.6,1478307.4,943107.7,1427372.5,378352.56,1205309.9,1361805.2,0,0,0,51337.836,0,0,375925.75,167473.48
1537,302.3053598,15.933343,5444972.5,6438733,3011405,7428414.5,4631725.5,3351807,8858875,5747599.5,5772983.5,4003157.5,2909323.2,5898054.5,8157102,6174098,6779975,7321500,9007869,7863975,1.04E+07
598,193.0498212,8.452052,286702.3,0,0,546024.06,108727.15,0,0,0,384819.97,0,0,501867.12,687053.7,562696.1,586708.3,660800.94,842859,616977.8,0
1308,181.086136,13.625008,0,434914.1,107245.09,0,0,604161.6,829257.56,833782.9,0,0,0,0,0,0,0,0,0,0,0
