row ID,MZ_RT,cor, p_value,p_value_corrected,L9,CE,L5,L10,L8,L4,L2,L3,L11,L7,L6,L17,L18,L15,L13,L14,L16,L12,L1
,Bioactivity,0,0,0,12.9,36.3,13.8,20.4,14.6,10.4,14.2,8.3,24.6,18.8,15.8,35.8,55.8,27.9,47.5,41.7,40,39.6,10
7777,777_7.77,0.944315383,1.25E-09,2.90E-06,6.25E-06,8.07E-06,3.56E-06,8.10E-06,6.16E-06,3.19E-06,3.78E-06,2.44E-06,1.27E-05,5.00E-06,4.33E-06,1.82E-05,2.77E-05,1.32E-05,2.49E-05,2.16E-05,1.81E-05,1.40E-05,1.72E-06
2119,787.1266069_20.949766,0.925583169,1.37E-08,3.20E-05,3.72E-04,4.91E-04,1.22E-04,4.97E-04,2.26E-04,1.72E-04,8.58E-05,1.41E-04,7.43E-04,1.76E-04,1.57E-04,1.09E-03,2.23E-03,7.23E-04,1.13E-03,1.12E-03,1.45E-03,1.09E-03,1.72E-10
2120,383.0759826_20.949451,0.90252198,1.26E-07,0.000292951,0.003613261,0.003069013,0.001614603,0.003969207,0.002669468,0.001838882,0.001426431,0.001709609,0.005429511,0.001830314,0.001890293,0.007259967,0.013041475,0.005428722,0.007033206,0.007097365,0.008370306,0.006420144,0.000538326
2118,405.0580054_20.94552,0.873768769,1.02E-06,0.002382769,0.002441456,0.001436355,0.000896639,0.002375619,0.001775381,0.001147954,0.000799884,0.000999348,0.003303169,0.00102845,0.001034808,0.004109672,0.005801721,0.003047906,0.004220619,0.004095259,0.00461498,0.003137245,0.000158883
954,268.1294665_10.531303,0.863191179,1.95E-06,0.004548185,4.84E-10,2.22E-10,2.58E-10,1.30E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,1.25E-04,2.66E-10,2.74E-10,2.08E-04,3.02E-04,1.97E-04,2.40E-04,2.38E-04,3.23E-04,1.80E-04,1.72E-10
1759,430.1375249_17.39666,0.863143052,1.96E-06,0.004561022,4.84E-10,2.22E-10,2.58E-10,1.29E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,1.14E-04,2.66E-10,2.74E-10,2.40E-04,4.20E-04,2.18E-04,2.42E-04,2.54E-04,3.61E-04,1.50E-04,1.72E-10
913,350.1501304_10.3947735,0.858226477,2.60E-06,0.006049962,2.46E-05,2.22E-10,2.58E-10,1.23E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,9.00E-05,2.66E-10,2.74E-10,2.60E-04,3.63E-04,2.08E-04,2.11E-04,2.58E-04,3.29E-04,1.66E-04,1.72E-10
1878,444.1530589_18.667807,0.85739761,2.72E-06,0.006338537,4.84E-10,2.22E-10,2.58E-10,1.45E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,2.66E-05,2.66E-10,2.74E-10,2.22E-04,4.20E-04,2.03E-04,2.47E-04,2.63E-04,3.80E-04,1.61E-04,1.72E-10
1060,328.1295644_11.283366,0.855208551,3.08E-06,0.007158726,2.73E-05,2.22E-10,2.58E-10,1.34E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,1.23E-04,2.66E-10,2.74E-10,2.68E-04,4.04E-04,2.30E-04,2.37E-04,2.60E-04,3.61E-04,1.60E-04,1.72E-10
1037,239.102901_11.140277,0.854737427,3.16E-06,0.00734679,4.84E-10,2.22E-10,2.58E-10,1.20E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,1.11E-04,2.66E-10,2.74E-10,2.19E-04,3.24E-04,1.99E-04,2.12E-04,2.26E-04,3.03E-04,1.27E-04,1.72E-10
1268,246.0764256_13.161326,0.854019823,3.28E-06,0.007641465,4.84E-10,2.22E-10,2.58E-10,1.25E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,9.02E-05,2.66E-10,2.74E-10,1.75E-04,3.01E-04,1.60E-04,1.76E-04,1.87E-04,2.96E-04,1.51E-04,1.72E-10
1243,329.1246195_12.920888,0.85217226,3.63E-06,0.008447705,4.84E-10,2.22E-10,2.58E-10,6.76E-05,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.29E-05,2.66E-10,2.74E-10,2.34E-04,3.14E-04,1.72E-04,1.69E-04,2.06E-04,2.84E-04,1.17E-04,1.72E-10
1394,271.06023_14.760498,0.848430092,4.43E-06,0.010308916,4.84E-10,2.22E-10,2.58E-10,9.78E-05,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.87E-05,2.66E-10,2.74E-10,3.42E-04,4.90E-04,2.98E-04,2.65E-04,3.38E-04,4.28E-04,1.70E-04,1.72E-10
957,230.1026001_10.576381,0.846911565,4.79E-06,0.011159694,7.80E-05,2.22E-10,2.58E-10,1.67E-04,2.23E-05,3.06E-10,2.66E-10,2.94E-10,1.72E-04,2.66E-10,2.74E-10,3.13E-04,5.04E-04,2.96E-04,2.90E-04,3.26E-04,4.36E-04,1.96E-04,1.72E-10
383,301.1295563_7.362596,0.846798756,4.82E-06,0.011225252,4.76E-05,2.22E-10,2.58E-10,1.30E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,1.20E-04,2.66E-10,2.74E-10,2.35E-04,3.82E-04,2.11E-04,2.21E-04,2.41E-04,3.65E-04,1.56E-04,1.72E-10
953,277.1298255_10.535282,0.845781693,5.08E-06,0.011831505,4.84E-10,2.22E-10,2.58E-10,9.71E-05,4.22E-10,3.06E-10,2.66E-10,2.94E-10,1.11E-04,2.66E-10,2.74E-10,2.88E-04,4.97E-04,2.52E-04,2.29E-04,2.60E-04,3.94E-04,1.35E-04,1.72E-10
799,338.1111148_9.596092,0.845316366,5.21E-06,0.012118188,5.14E-05,3.24E-05,2.58E-10,9.19E-05,2.05E-05,3.06E-10,2.66E-10,2.94E-10,1.18E-04,2.66E-10,2.74E-10,2.29E-04,2.76E-04,2.25E-04,1.93E-04,2.33E-04,2.28E-04,1.04E-04,1.72E-10
531,248.0588141_8.057978,0.84468313,5.38E-06,0.012517956,1.76E-04,6.88E-05,2.58E-10,2.28E-04,9.69E-05,3.06E-10,2.66E-10,2.94E-10,2.01E-04,4.11E-05,2.74E-10,2.89E-04,4.87E-04,2.66E-04,2.86E-04,3.52E-04,4.52E-04,2.25E-04,1.72E-10
904,279.0766851_10.293961,0.843615085,5.68E-06,0.013218084,5.01E-05,2.22E-10,2.58E-10,1.34E-04,4.22E-10,3.06E-10,2.66E-10,2.94E-10,1.23E-04,2.66E-10,2.74E-10,2.83E-04,3.97E-04,2.50E-04,2.50E-04,2.72E-04,4.00E-04,1.73E-04,1.72E-10
